query_id,placekey,latLon
10034,222@8gn-n8d-b8v,"(32.5335136063289, -85.91213381280862)"
10097,222@8gk-zng-vzz,"(32.552487163490596, -86.18611755475808)"
10169,222@8f4-6cs-2hq,"(31.015609351293175, -87.4800998932443)"
10099,222@8f3-zky-mzf,"(31.12701853468196, -87.07309202951404)"
10046,222@8gm-nfs-cqz,"(34.00441216411297, -86.00388504728491)"
10040,223@8gm-nft-yn5,"(34.00785086610993, -85.96525133852724)"
10045,222@8gm-8gs-bp9,"(33.70809234414451, -87.8239448016132)"
10158,222@5pn-66g-59f,"(34.51083420441252, -87.71888292837849)"
11302,223@5pn-2x5-vvf,"(34.457176495088504, -88.14745910420015)"
10062,222@8gh-ysd-bp9,"(31.049189236059892, -85.89128211151835)"
10051,222@8gn-cf2-yvz,"(32.84349733821583, -87.889357054918)"
10095,222@8gn-6qw-59f,"(32.69578573397355, -87.58522322503423)"
12010,222@8gh-wn9-c3q,"(31.21573079054993, -85.36305577433536)"
10001,222@8gh-wn9-c3q,"(31.21573079054993, -85.36305577433536)"
10055,222@8gh-x7f-9cq,"(31.23752733127422, -85.457248880531)"
10061,222@8gm-qph-vfz,"(34.66177083176204, -86.04755697944331)"
10011,228@8gk-tmw-ty9,"(33.59642096279543, -86.66706416233116)"
10056,223@8gk-ttz-vxq,"(33.508034501978095, -86.78866670584179)"
12009,228@8gk-tmw-ty9,"(33.59642096279543, -86.66706416233116)"
10103,224@8gk-tt7-6x5,"(33.4971621088267, -86.84836060233263)"
10033,223@8gk-tv9-wc5,"(33.50481957615539, -86.80394931333782)"
12008,22d@8gk-ttp-7h5,"(33.463313252724, -86.77636044548683)"
13300,223@8gk-tv9-w8v,"(33.50599448632224, -86.80598015219302)"
10104,222@8gk-t8p-fzz,"(33.433495820859235, -86.71878567657956)"
10139,22d@8gk-ttp-7h5,"(33.463313252724, -86.77636044548683)"
10114,224@8gm-9nt-6ff,"(33.37204141929999, -86.99178141254954)"
10006,222@5pm-hxc-f9f,"(34.804298793351535, -87.65021580570743)"
10059,222@5pm-jxf-7yv,"(34.48417475380111, -87.28625752336609)"
10029,222@8gn-kkm-vs5,"(32.63854295157723, -85.40481725359791)"
10079,223@5pm-fqn-mtv,"(34.80479379520763, -86.97910819959816)"
12014,223@5pm-fqn-mtv,"(34.80479379520763, -86.97910819959816)"
10039,225@5pm-mtb-zzz,"(34.72106256668839, -86.57849285975742)"
10112,222@8gn-b5w-fzz,"(32.5042697058144, -87.83701629705206)"
10044,222@5pn-29r-v4v,"(34.12671728544846, -87.99209860655202)"
10086,222@8gm-7w8-7t9,"(33.93059012828422, -87.82423162693294)"
10005,222@8gm-mn7-yy9,"(34.221574598782055, -86.16051637265647)"
10113,222@8f3-fv7-zvf,"(30.697921859540422, -88.08029053853824)"
12006,222@8f3-fv7-zvf,"(30.697921859540422, -88.08029053853824)"
10144,222@8f3-ftb-kzz,"(30.684041896498222, -88.13164605558842)"
13301,22f@8f3-fvc-cbk,"(30.696776327753295, -88.07827171071142)"
10087,222@8f3-fvt-4jv,"(30.706105753020154, -88.09850718242866)"
10090,222@8f3-fwg-tqf,"(30.678198081359778, -88.19852928729459)"
10120,222@8f4-2hx-hwk,"(31.497883731766947, -87.32104477346415)"
10023,22b@8gn-24t-jjv,"(32.32770395056556, -86.27742863732236)"
10149,224@8gn-nhv-649,"(32.376774690352086, -86.17449776944784)"
10024,222@8gn-24m-yy9,"(32.36696672216787, -86.28479148872616)"
10085,224@5pm-gv2-k9f,"(34.590984941424146, -86.97267304139146)"
10126,223@8gh-w34-3wk,"(31.78134987534556, -85.94512469659301)"
11306,222@8gm-ch6-4y9,"(33.296266227348234, -85.48071889986171)"
10168,222@8gn-jcx-skf,"(32.50764998825416, -85.00884320575905)"
10130,222@8gk-w8v-gtv,"(33.60447406469378, -86.30131039200253)"
10016,222@8gk-yjs-fzz,"(33.2520121936483, -86.81227617603943)"
10138,223@8f7-dz4-nyv,"(32.49171426665635, -88.29606262397552)"
10164,223@8gk-sg7-tjv,"(33.16586409587965, -86.25413304850194)"
10101,225@8gk-w6g-x89,"(33.43973893492883, -86.08961252373878)"
10052,222@8gn-hds-qmk,"(32.81974106105547, -85.74102614679471)"
10065,223@8gk-vps-5xq,"(32.93043518142323, -85.96937957642203)"
10092,222@8gn-9sg-nkf,"(33.20509760164234, -87.52704835334634)"
12012,222@8gn-9sg-nkf,"(33.20509760164234, -87.52704835334634)"
10089,22g@8gm-3rn-syv,"(33.84250894814014, -87.23591779482302)"
11300,222@8f4-fbt-j9z,"(31.45990559151354, -88.23525562287341)"
10102,222@8gn-3yx-wrk,"(31.997344971525248, -87.29899303626242)"
10125,222@8gm-3z8-yd9,"(34.24835123716465, -87.57901983719427)"
20017,222@3bt-c2m-8vz,"(61.210919433467815, -149.828715550524)"
22001,222@3bt-by6-bhq,"(61.17642875484063, -149.88105043665877)"
20001,222@3bt-c28-vfz,"(61.18749954878162, -149.81939454187582)"
21307,25f@3bc-jyd-6c5,"(60.54192773139057, -145.75287120144566)"
20012,222@3f4-sg3-575,"(64.83113134279102, -147.73921149399433)"
20008,222@3z3-dkv-nnq,"(58.328282171830026, -134.464848639268)"
21313,223@3bh-2c6-snq,"(59.652207905167955, -151.55066093412347)"
20024,223@3bh-zvc-cwk,"(60.49367743508054, -151.07729531797082)"
21311,223@3wq-3vs-zzz,"(55.353722386020266, -131.68752434949974)"
21306,222@3bk-jm5-rx5,"(57.80181905132588, -152.3735625727654)"
20006,222@3bt-gnc-mhq,"(61.563007398314866, -149.2587335698097)"
21302,23k@3bb-v2p-bkz,"(60.1239863987768, -149.38415041579924)"
21301,226@3bc-7c5-cyv,"(61.10440580436459, -146.2162855166858)"
21304,233@3wr-cjj-y7q,"(56.76689411604576, -132.93221126835866)"
31315,222@8th-8x8-mc5,"(34.13112439291983, -109.28407245157285)"
30043,222@8tt-pgj-pjv,"(31.55223943640709, -110.22957010876667)"
31302,224@8ts-s2y-xyv,"(32.264860703901554, -109.83866695594433)"
31301,222@8tt-q4p-4vz,"(31.9647324306687, -110.3089346030172)"
31312,222@8tt-w4z-3bk,"(31.417911249544638, -109.88243934429762)"
31304,222@5yz-txz-8n5,"(36.917820865138964, -111.46281305668964)"
30023,222@5z9-phq-fj9,"(35.2083507059718, -111.6442719690705)"
31314,222@8ts-wzz-x3q,"(33.4058154511938, -110.82676372394306)"
31318,229@8th-mtv-w6k,"(34.23169444051423, -111.32052936323106)"
30068,223@8ts-n8d-6tv,"(32.82270511151763, -109.73443604307917)"
31317,222@5zb-h6j-j35,"(34.136106547369664, -114.28504423548229)"
30038,222@8ts-zgr-dqf,"(33.48872834755757, -111.92244798570152)"
30036,222@8ts-zyp-47q,"(33.297328793862164, -111.87437666257736)"
30061,222@5zb-xfq-zvf,"(33.60446685224943, -112.28363712258246)"
30087,222@5zb-xm4-cdv,"(33.57963517213473, -111.88477649060395)"
30105,223@8ts-zmz-dy9,"(33.41153553948199, -111.68543510788234)"
30110,222@8ts-d5m-nwk,"(33.462174958014224, -112.3528786320112)"
30121,222@8ts-zk4-tgk,"(33.39177947192341, -111.61076362980218)"
30138,222@8ts-d5n-d5f,"(33.453941439666494, -112.36371114200591)"
32000,223@5zb-xfr-5cq,"(33.60436514770278, -112.26099073342918)"
32001,222@5zb-xbg-qcq,"(33.48233174596983, -112.07864418878536)"
30022,225@5zb-xdt-djv,"(33.45822264377792, -112.02872323187727)"
32006,223@8ts-zr7-wrk,"(33.424973884636685, -111.82123640516483)"
30115,222@8ts-d67-t5f,"(33.477797979976145, -112.25934396002276)"
30030,222@5zb-xb9-fs5,"(33.52467398538328, -112.10176369296165)"
30136,222@8ts-czy-c5z,"(33.380666735675995, -112.16775195329937)"
30092,222@5zb-wtr-xdv,"(33.66605404418022, -112.11630211209172)"
30119,222@8ts-zct-b6k,"(33.287560659512266, -111.75266039526373)"
30122,222@8ts-zcm-5fz,"(33.38495660153826, -111.7247141731958)"
30093,222@5zb-v5s-8gk,"(33.65942929907605, -112.37337873074686)"
30139,222@8ts-zmt-3kf,"(33.35031211231227, -111.63707680645885)"
30107,222@8ts-zcb-7dv,"(33.38012799679622, -111.73546511878263)"
30024,222@5zb-xbg-qcq,"(33.48233174596983, -112.07864418878536)"
30108,224@5zb-xb9-zs5,"(33.531811418584915, -112.09848698862395)"
30131,222@8ts-zg4-jd9,"(33.45718603900673, -111.99657189515626)"
30083,223@5zb-xdv-hyv,"(33.48118888788987, -112.03945037260064)"
30112,227@8ts-zj7-575,"(33.33389552994526, -111.89158213306824)"
30147,22d@8ts-zy4-dy9,"(33.27810298691669, -111.86053915644307)"
31300,222@5zb-w6r-psq,"(33.97834567680816, -112.7400761328305)"
32005,222@5zb-xdv-xh5,"(33.465200071955806, -112.05814198228381)"
33302,222@5zb-xdv-j35,"(33.4788095575415, -112.04054352072964)"
30014,222@5zb-xcf-dvz,"(33.56920844080889, -112.06995351354641)"
30089,222@5zb-xgj-cbk,"(33.6093287649007, -112.17926603722135)"
30037,223@5zb-xdq-3t9,"(33.45175270908731, -112.0430420892346)"
30094,224@5zb-wwp-w6k,"(33.65518328996718, -112.20080800781214)"
30002,222@5zb-xdv-xh5,"(33.465200071955806, -112.05814198228381)"
30065,225@8ts-zj5-zcq,"(33.389312557104624, -111.87741709128458)"
30123,222@5zb-x5b-qj9,"(33.67113143083883, -111.92211892041877)"
30088,225@8ts-zmz-j35,"(33.409717661679046, -111.69053804479975)"
30103,222@5zb-x58-qj9,"(33.65855982872743, -111.95635629298611)"
30055,222@5zb-25z-87q,"(35.21954003651156, -114.03779861266281)"
30069,223@5z9-7pm-qzz,"(34.479896858039595, -114.33824502222863)"
30117,222@5z9-bt9-3nq,"(35.002116702601754, -114.59559758512259)"
30101,222@5z9-dmx-kmk,"(35.11103160401696, -114.55600652621257)"
30062,222@8th-b8y-99f,"(34.2034501514021, -110.01700367746167)"
31311,222@8tg-8jq-xwk,"(35.0352061232913, -110.69251792304533)"
32004,222@8ts-3h8-nbk,"(32.2304794134036, -110.83770600146342)"
30011,223@8ts-3n9-9s5,"(32.226097988614434, -110.85386716266106)"
30064,227@8ts-3m3-yjv,"(32.24210081775327, -110.943891201381)"
30114,222@8ts-34m-whq,"(32.42818142684853, -110.94939165843924)"
30006,222@8ts-3mx-s3q,"(32.25270277215059, -110.88106601865131)"
30137,222@8ts-7dg-q2k,"(31.806440873391015, -111.00982089815236)"
30111,225@8ts-3pw-s5z,"(32.17475415730612, -110.92851315187822)"
30085,222@8tr-zbf-qxq,"(32.32045521895368, -111.01067900872458)"
32002,222@8ts-3n9-5xq,"(32.22549876848869, -110.85838292344836)"
30010,222@8ts-3pc-5xq,"(32.22790419410442, -110.99988013571036)"
30130,222@8tt-254-6tv,"(33.21432373843951, -111.56516561265515)"
30134,223@8ts-zk5-9pv,"(33.39446761072113, -111.56688492251924)"
30016,222@8ts-cjw-6rk,"(32.88115541402641, -111.70886576712101)"
31313,222@8tt-7z4-btv,"(31.33957848434294, -110.95882808847735)"
30007,222@5z9-t65-bx5,"(34.73520388943714, -112.02999628786323)"
30012,222@5zb-t2h-mkz,"(34.558652053827466, -112.48124654418577)"
30013,222@8sc-xfx-85f,"(32.68220567125289, -114.63586249448895)"
40072,222@5ps-gzp-2tv,"(34.51773658356329, -91.55936646051573)"
41314,222@5ps-h2p-tgk,"(34.278986974043825, -91.33875701836163)"
40118,222@5pt-4rm-zvf,"(35.86593166646348, -90.63725657420912)"
41323,222@8f2-zhq-xnq,"(33.138685507830075, -91.9390924637168)"
04T027,222@5pt-c33-4gk,"(36.34225380541615, -92.3963302612763)"
40027,222@5pt-c33-4gk,"(36.34225380541615, -92.3963302612763)"
41331,222@5r8-77g-hyv,"(36.40865638873272, -94.46107768862704)"
40010,222@5r8-759-zcq,"(36.309274634875514, -94.18353046853821)"
40001,222@5r6-wyk-xbk,"(36.18963595623718, -94.50773058317719)"
40017,222@5r8-9ky-6rk,"(36.2358258247744, -93.10906120066872)"
41327,223@8dz-sjf-cnq,"(33.61064084554096, -92.05918043410058)"
41329,222@5r8-57k-nh5,"(36.358270687808236, -93.55126225111376)"
41304,222@5r8-52m-qs5,"(36.40055521052073, -93.74408945603565)"
41321,223@8f2-72d-t7q,"(34.12328692599975, -93.08812895443441)"
41330,22c@5pt-23q-btv,"(36.382556448309266, -90.1883604957704)"
41312,222@5pr-qqy-6kz,"(35.503345717530365, -91.99821185447973)"
40067,223@8dz-7ym-tn5,"(33.274750535990684, -93.23854488341445)"
41324,222@5ps-7cj-p7q,"(35.167852212996856, -92.72095163985192)"
40020,222@5pt-4q8-cdv,"(35.837062793221605, -90.7029493948517)"
42013,224@5pt-4py-vxq,"(35.808316452473626, -90.66635216620928)"
40018,222@5r7-7jx-2zf,"(35.43532832142064, -94.33807031993484)"
40156,222@5ps-3yy-8sq,"(35.1673024389503, -90.17734199154442)"
41307,224@5pr-yy8-g6k,"(35.22483871346418, -90.78640381516527)"
41317,227@8dz-xy3-52k,"(33.8111599146603, -92.42595102657268)"
41308,225@8dz-vsf-ht9,"(33.617621458964216, -91.39298239975108)"
41326,222@8dz-vc7-x5z,"(33.87345178904802, -91.48043096158976)"
40051,222@8dz-srx-t35,"(33.610791909625874, -91.81695777215572)"
40029,225@5ps-78r-jgk,"(35.085822685377096, -92.45847354379133)"
40154,222@5ps-79d-kzz,"(35.05627974971308, -92.41893378935366)"
41303,227@5r7-5q5-hbk,"(35.486723654686166, -93.83409720024126)"
41322,222@5pr-v72-c89,"(36.3828435666481, -91.81110114974595)"
40026,222@8f2-2wv-hyv,"(34.46705433966896, -93.06717748142928)"
40132,222@8f2-2wt-249,"(34.51066265838014, -93.05721410089933)"
42004,222@8f2-2wv-hyv,"(34.46705433966896, -93.06717748142928)"
40078,222@8f2-2wr-b49,"(34.48577826251488, -93.03529456176206)"
40039,222@5pt-529-59f,"(36.05207305896482, -90.49792510924591)"
40153,222@8dz-94f-vj9,"(33.64855506974271, -93.58386280320543)"
40076,222@8f2-3kv-5cq,"(34.35792001674736, -92.78579997104859)"
41311,222@8dz-krf-j35,"(33.94930523833762, -93.8807209426755)"
40119,223@5pr-mxs-whq,"(35.76808971672134, -91.63445923889711)"
41306,222@5pt-bgt-j35,"(36.126341689312405, -92.1282143443141)"
40071,222@8dz-t9k-cbk,"(34.18801138012965, -92.0183790728647)"
40002,223@5ps-8c2-qcq,"(35.46223778034282, -93.44457258902301)"
41309,222@5pr-syb-6ff,"(36.07403194969146, -90.9675149535762)"
41320,222@8dz-qsc-cnq,"(33.669076003018, -94.1348656304565)"
41318,225@5r6-zk3-3bk,"(35.140669545412024, -93.936130382898)"
41300,222@5r7-6zg-v4v,"(35.28957820766114, -93.72509834296845)"
40069,222@5pt-2zt-gzf,"(35.94250769235948, -89.91507925001082)"
41316,225@5pt-2y3-8sq,"(35.70031543774498, -89.97571439053353)"
40050,222@8dz-c6m-xt9,"(33.575863613813944, -92.83587147860536)"
40085,222@8f6-336-tjv,"(34.510541251510254, -90.62739527020196)"
40015,222@8dz-mc8-4vz,"(34.588390447387006, -94.22124161524098)"
40041,222@5ps-9t7-wff,"(35.284245593294344, -93.14954585367818)"
40137,222@5ps-hy9-t35,"(34.81254101092524, -92.20841199049174)"
40134,222@5ps-j5j-4y9,"(34.73913847043624, -92.3940021903014)"
42010,222@5ps-jc6-nkf,"(34.750682935450676, -92.33850415672597)"
40036,222@5ps-hws-rff,"(34.78420651092549, -92.22332328459787)"
40147,222@5ps-j77-dsq,"(34.80087080623908, -92.34892737895011)"
42012,222@5ps-j5h-t7q,"(34.74523442015186, -92.38091784107316)"
40007,222@5ps-jc6-nkf,"(34.750682935450676, -92.33850415672597)"
40047,222@5pr-s4s-47q,"(36.2901270591602, -90.99731203191992)"
04L115,226@5pr-zv6-gx5,"(35.016583011509645, -90.7733698951228)"
40019,222@5pr-ygw-h5z,"(35.039906720378795, -90.77634825584289)"
40084,222@8f2-4xn-835,"(34.57385999055057, -92.58510390867193)"
41305,222@5r7-4w2-sh5,"(34.894578616947925, -94.10637017914095)"
42006,224@5r7-3vc-gc5,"(35.37514842435437, -94.41738789634041)"
42008,222@5r7-7m8-vmk,"(35.355495153657834, -94.35383495424907)"
40062,222@5r7-7m8-vmk,"(35.355495153657834, -94.35383495424907)"
40055,224@5r7-3vc-gc5,"(35.37514842435437, -94.41738789634041)"
41310,222@5pr-pjc-dd9,"(35.85628142153048, -92.08322386917007)"
40088,225@8dz-9wn-ct9,"(33.21858163984702, -92.67071419711841)"
41313,222@5ps-cc7-mzf,"(35.55942637210517, -92.45198552570471)"
42009,222@5r8-6mz-b8v,"(36.18053476196476, -94.1375582744572)"
04L120,222@5r8-6nw-z2k,"(36.16412496228504, -94.18512521160446)"
40022,222@5r8-6mz-b8v,"(36.18053476196476, -94.1375582744572)"
43301,222@5r8-6nx-7dv,"(36.162071928526885, -94.19107108580303)"
40004,222@5r8-88g-4d9,"(36.10976250628285, -94.15987782306584)"
40152,222@5r8-7z3-j35,"(36.121128162923256, -94.13396391525725)"
40014,226@5ps-mmq-x5z,"(35.251513003332974, -91.69233181509043)"
42011,222@5ps-pgq-4sq,"(35.23361756435245, -91.73167830206665)"
41302,225@5ps-9cj-dd9,"(35.22059842061831, -93.15681106319356)"
40011,222@5r7-6dc-hnq,"(35.053979666333916, -93.38788343732254)"
50488,222@5vg-87q-bzf,"(37.69789411913773, -122.08961228215269)"
52034,222@5vg-85d-4vz,"(37.71547311017068, -122.13078344830765)"
50320,222@5vg-85n-bff,"(37.79820151482222, -122.23093015024637)"
50043,224@5vg-7fn-3h5,"(37.82092764215733, -122.26338643742329)"
50075,224@5vg-7fj-kzz,"(37.82346554542353, -122.25700098038998)"
50211,225@5vg-85r-9zz,"(37.762879872842156, -122.25351426367492)"
50002,222@5vh-b3c-kmk,"(37.63250019511685, -122.08796878615082)"
50283,222@5vg-9wm-5s5,"(37.69447095180276, -121.8808335011675)"
50305,223@5vg-7qk-3wk,"(37.855681085970204, -122.25734949400513)"
50512,222@5vh-9p9-ghq,"(37.55248438792693, -121.9746181250114)"
50777,224@5vg-859-975,"(37.70650081453602, -122.16543256734502)"
53301,224@5vg-7fm-hqz,"(37.83736109338745, -122.26684661345364)"
50195,222@5vh-9p9-p5f,"(37.556692270015304, -121.9798678383672)"
50014,222@5vh-vn4-c5z,"(38.35061354931203, -120.76455097686254)"
50030,22b@5vg-z3z-yn5,"(39.50521663009536, -121.54080154404964)"
51311,224@5vg-yxt-ch5,"(39.36813006829188, -121.68982242408453)"
50039,222@5vh-25v-q2k,"(39.74209626511602, -121.85073505445558)"
51332,222@5vh-vjs-2rk,"(38.190221183708445, -120.67055291309602)"
50783,222@5vg-xp2-zs5,"(39.20597976289132, -122.0012855629205)"
50689,222@5vg-b2s-kvf,"(37.77616636133765, -121.95820783476141)"
50760,223@5vg-9ds-xh5,"(37.95086017258608, -121.77518049732568)"
50276,222@5vg-43m-snq,"(38.006657480604744, -122.13313687495459)"
50523,224@5vg-9dn-fxq,"(37.9822606869532, -121.80308977449094)"
50072,222@5vg-9jk-hdv,"(37.89209195801807, -122.05972580642472)"
50180,222@5vg-9jb-7h5,"(37.9124299849353, -122.04122438411078)"
50496,222@5vg-9gn-3yv,"(37.98374157898982, -122.0351184430487)"
50417,226@5v8-pfy-4sq,"(41.77225454829829, -124.1951486609147)"
50254,223@5vg-nx5-qpv,"(38.72421066700683, -120.79176085324902)"
50352,222@5yw-bfw-5xq,"(38.91126880147481, -119.99763178254827)"
53300,222@5z7-s4x-fj9,"(36.884156630606185, -119.80124695260236)"
50708,224@5z7-stv-gp9,"(36.82516603624563, -119.78160172939118)"
50192,222@5z6-x2r-w49,"(36.60852746576898, -119.45241852060188)"
50492,222@5z7-svs-v4v,"(36.83929496210975, -119.65995400201226)"
50710,22d@5z7-s48-3bk,"(36.83773979303556, -119.8470905811693)"
50093,222@5z7-sty-fpv,"(36.835049962879474, -119.76528558727895)"
50732,222@5z7-s4w-dqf,"(36.8595513954252, -119.7888113399376)"
50060,222@5z7-swr-8d9,"(36.74205308362245, -119.78385502193576)"
51306,222@5vh-2d7-68v,"(39.52168332939163, -122.20846459452977)"
50028,222@5tz-bfx-xh5,"(40.89676669152699, -124.09103762877176)"
51309,223@5v2-f6z-syv,"(40.101791033349485, -123.79247680706983)"
51318,222@5tz-fq4-yd9,"(40.581954941510375, -124.13613235675051)"
50006,223@5tz-fzq-y7q,"(40.783864875080916, -124.14197666821697)"
50342,222@5z6-gtv-xnq,"(32.95862655123196, -115.55386132423354)"
50045,222@8sc-wh5-nt9,"(32.78081196642669, -115.56869669299627)"
51302,222@5z7-kn8-ty9,"(36.608390934798656, -118.05774149381952)"
51324,222@5z7-gpz-g6k,"(37.36231763792286, -118.40552321941068)"
50608,222@5z7-2g6-zpv,"(35.76264148326569, -119.23829090506054)"
50295,222@5z8-p26-sqz,"(35.37276506081866, -119.02723564333037)"
51301,222@5z8-n7g-qfz,"(35.147756703869625, -118.45193400574092)"
50724,222@5z8-nym-d35,"(35.385877730140706, -119.03856471157307)"
50257,223@5z8-nyd-gtv,"(35.412104801044244, -119.0392476414748)"
50455,222@5z8-nym-mff,"(35.38319959113083, -119.01901439487192)"
50315,222@5z8-ny5-8y9,"(35.38289905550696, -118.9710467519338)"
51314,222@5z8-gmx-tn5,"(35.635588804199635, -118.4073274052053)"
51333,223@5z5-g5y-syv,"(35.64124660261531, -117.67109517643607)"
50036,222@5z8-nyq-6ff,"(35.39214324561492, -119.00725568391466)"
50121,223@5z6-t7d-t5f,"(36.32269099561396, -119.66691634351204)"
51329,222@5vh-4fj-4vz,"(39.10460195514941, -122.90693245951282)"
51320,222@5v6-zt7-xt9,"(40.436038846498946, -120.62737314602713)"
50112,22c@5z4-zvf-5s5,"(34.02790713509075, -118.48555422718711)"
50096,222@5z5-3v8-bx5,"(34.07051759266227, -117.9449170251808)"
50471,229@5z5-3qr-bkz,"(34.053132398787824, -118.2653028830327)"
50126,222@5z4-zc6-cnq,"(34.19499203204779, -118.46373231935004)"
50231,222@5z4-rq2-ct9,"(34.07741338641022, -117.7514747636042)"
50238,222@5z5-35g-nkf,"(34.1324798775854, -118.0436475070309)"
50239,222@5z5-3qj-hnq,"(34.15092005709093, -118.22944993254927)"
50139,222@5z6-3kt-jd9,"(33.919830105265234, -118.12922579778481)"
50146,222@5z5-3t2-3wk,"(34.12985454456181, -117.97066673776172)"
50481,222@5z4-zj8-75z,"(34.20240875148306, -118.62881086334241)"
50290,224@5z4-zvf-gp9,"(34.03026595899115, -118.47917223218658)"
50378,222@5z4-zdh-vmk,"(34.24018398658848, -118.39674340080886)"
50597,22g@5z5-3t9-hqz,"(34.13228032652456, -117.87093497967672)"
50717,222@5z6-3kv-z4v,"(33.93069534257821, -118.15911320658782)"
50723,222@5z5-3v5-7bk,"(34.06496780875615, -117.985499379529)"
50737,222@5z5-3k9-dgk,"(34.06829603011754, -118.12387850534975)"
50742,224@5z4-zvs-hkf,"(34.05698432978852, -118.35945539262212)"
50739,222@5z6-3ry-mzf,"(33.950603065654356, -118.34799108383788)"
50761,222@5z4-zfb-psq,"(34.17052328374631, -118.53207189743414)"
50262,22j@5z4-zw9-x5z,"(34.06552002413351, -118.44624547096626)"
51307,227@5z5-z5j-73q,"(33.339826354698594, -118.3308620724627)"
52032,222@5z4-zxh-2hq,"(33.99002028700017, -118.37893261758046)"
52046,223@5z6-3kz-87q,"(33.884616681770595, -118.1622589636298)"
52050,22k@5z6-3rd-66k,"(33.88958291687316, -118.29687893473532)"
50063,225@5z5-3p7-gkz,"(34.09580990865843, -118.29086826746378)"
50278,222@5z4-vrg-jsq,"(34.279737316802084, -118.46050689044051)"
50351,222@5z6-3c5-7wk,"(33.81166941674787, -118.34382901127498)"
50281,227@5z5-3k5-gp9,"(34.08988352810056, -118.1440816692736)"
50078,223@5z6-3d7-fcq,"(33.738046441951504, -118.30587811463313)"
50376,222@5z6-3bz-jvz,"(33.8301890848143, -118.29427756799879)"
50382,222@5z5-3w4-5s5,"(34.08798096417403, -117.8940861822617)"
50588,223@5z4-rnx-qmk,"(34.09717633914085, -117.83417006253815)"
50641,227@5z5-3mq-h89,"(34.02343774950851, -118.18403090187161)"
50660,222@5z5-3rh-hqz,"(34.06038399169828, -118.20500496017041)"
50677,222@5z4-z5q-kcq,"(34.17121174622856, -118.59050846745974)"
52054,22m@5z5-3t2-tsq,"(34.14906631125591, -117.99181941301067)"
50058,22d@5z5-3p4-c3q,"(34.126798491361335, -118.25676348280815)"
50135,227@5z5-3r7-75z,"(34.09672387932349, -118.32605523903023)"
50137,222@5z4-zdp-rp9,"(34.21819175054302, -118.43001160437056)"
50735,224@5z4-rgx-tsq,"(33.95038525096935, -118.00495686655503)"
50158,223@5z4-zfk-nh5,"(34.15818235205964, -118.48774290120339)"
53302,228@5z5-3p7-gff,"(34.09729713432232, -118.28891473474211)"
50169,222@5z5-3n4-fzz,"(33.96958125042582, -118.0493608053182)"
50191,222@5z6-3cb-nt9,"(33.78024391998333, -118.1856255032176)"
50373,23m@5z5-3rr-x89,"(34.04591114863967, -118.23396742385572)"
50736,223@5z5-3k6-6rk,"(34.05007205393003, -118.13793293814535)"
