query_id,placekey,latLon
ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,22b@8dx-9df-td9,"(31.294892660887577, -92.51416567175264)"
f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4,222@5yv-j89-wff,"(36.109299464044156, -115.16536083842685)"
10108,222@8gm-zc8-s5z,"(32.46441523271229, -86.45186926629823)"
10083,222@8f3-jcc-2rk,"(30.426366051027696, -87.68457884635949)"
10100,22c@8f3-p2w-5mk,"(30.518894065818337, -87.88907185819359)"
10129,224@8f3-kjj-sh5,"(30.903253734901394, -87.78521735896251)"
10069,222@8gn-pn9-mzf,"(31.888205377744672, -85.15626376886644)"
10058,222@8gn-8mh-btv,"(32.95116329017493, -87.14663847219103)"
11305,222@8gm-rp7-7yv,"(33.93257449942511, -86.4944603231103)"
10110,222@8gn-m9b-6tv,"(32.14671421219533, -85.71271077964845)"
10150,222@8gn-4dn-rx5,"(31.829780723068325, -86.64713977674967)"
10038,224@8gm-v8k-ysq,"(33.66794792458542, -85.82509298587814)"
12011,222@8gm-v8m-v4v,"(33.65638707284875, -85.82352724156856)"
10078,222@8gm-v8m-v4v,"(33.65638707284875, -85.82352724156856)"
10175,222@8gn-kbk-fj9,"(32.82461805397871, -85.16903484647244)"
10022,222@8gm-pmm-45f,"(34.162143422585785, -85.65177160463267)"
10173,222@8gk-xkn-fvf,"(32.879791139652184, -86.6229810686697)"
11304,22w@8f4-btp-x3q,"(32.09369149618481, -88.22698556103813)"
10091,222@8f4-9yb-rhq,"(31.694713347747076, -87.77690699364557)"
10128,223@8f4-9sv-49z,"(31.531814028199918, -87.89503174865341)"
10174,22f@8f4-9gv-4d9,"(31.87057244131046, -87.73708268262597)"
10073,236@8gk-vk3-t5f,"(33.24349540301133, -85.84762372969551)"
10049,222@8gh-tq5-vj9,"(31.319101639094367, -85.85433925423618)"
10019,222@5pn-6r3-wtv,"(34.74679286888122, -87.69957375295847)"
10157,222@5pn-6qs-jsq,"(34.74741797910699, -87.67561739637483)"
10148,222@8f4-2p6-mtv,"(31.430700519880244, -86.94065849118006)"
10007,223@8gh-zhj-st9,"(31.291442223044804, -86.25441305716468)"
10036,222@8gj-26q-8jv,"(31.296731668020488, -86.49508589861635)"
10008,223@8gn-4m5-zj9,"(31.693838992873278, -86.26510972658815)"
10021,222@8gh-y48-ct9,"(31.4510361473354, -85.63148298307256)"
10118,222@8gm-y2q-2rk,"(32.429757604779944, -87.05584060550689)"
