GEOID,criteria
37017,NA
37167,NA
39153,NA
42113,Unknown
48459,Specimen
48049,Specimen
45021,NA
1043,Persons
54023,NA
46055,NA
55061,Persons
18049,Persons
19083,Unknown
20133,Persons
31133,Unknown
1059,Persons
29175,Unknown
35028,Persons
37105,NA
39137,NA
45039,NA
48021,Specimen
55113,Persons
48233,Specimen
55031,Persons
48095,Specimen
51065,NA
55041,Persons
26121,Specimen
27005,NA
40077,NA
22073,Unknown
15005,Unknown
1023,Persons
12123,Unknown
18127,Persons
20075,Persons
26139,Specimen
26101,Specimen
40025,NA
38019,Persons
38095,Persons
5145,Unknown
13081,NA
13043,NA
18015,Persons
19141,Unknown
20123,Persons
17023,Specimen
24047,Both
26019,Specimen
31135,Unknown
20189,Persons
46105,NA
51025,NA
51141,NA
1109,Persons
13013,NA
18125,Persons
19081,Unknown
21215,NA
26087,Specimen
27009,NA
27007,NA
28115,NA
1075,Persons
12061,Unknown
12073,Unknown
26149,Specimen
26031,Specimen
31165,Unknown
39051,NA
37007,NA
37185,NA
1073,Persons
8047,NA
13089,NA
17093,Specimen
19019,Unknown
26079,Specimen
27097,NA
1079,Persons
5059,Unknown
35011,Persons
17009,Specimen
20155,Persons
31151,Unknown
29027,Unknown
36099,Persons
28019,NA
40011,NA
48375,Specimen
48455,Specimen
55107,Persons
72145,NA
53069,Persons
48103,Specimen
47117,Unknown
48381,Specimen
48285,Specimen
29097,Unknown
17187,Specimen
18107,Persons
28081,NA
28087,NA
39113,NA
31137,Unknown
17181,Specimen
1017,Persons
13073,NA
17083,Specimen
26151,Specimen
29031,Unknown
37055,NA
47139,Unknown
22063,Unknown
21069,NA
29117,Unknown
29085,Unknown
39173,NA
40107,NA
51840,NA
48441,Specimen
54095,NA
55015,Persons
31143,Unknown
31157,Unknown
5009,Unknown
12103,Unknown
16081,NA
20129,Persons
26059,Specimen
36101,Persons
39083,NA
40105,NA
47181,Unknown
54065,NA
13067,NA
13305,NA
17123,Specimen
18031,Persons
19023,Unknown
20073,Persons
39169,NA
40153,NA
46025,NA
47169,Unknown
48025,Specimen
48151,Specimen
48005,Specimen
56033,Specimen
48383,Specimen
51159,NA
54105,NA
56031,Specimen
48161,Specimen
28155,NA
20023,Persons
31179,Unknown
31109,Unknown
38075,Persons
8125,NA
27131,NA
30065,NA
31185,Unknown
37063,NA
47007,Unknown
48341,Specimen
49031,NA
51580,NA
1053,Persons
72061,NA
72121,NA
20089,Persons
46099,NA
36097,Persons
42015,Unknown
20059,Persons
13113,NA
17171,Specimen
4003,Specimen
6049,Unknown
17091,Specimen
19195,Unknown
19063,Unknown
26053,Specimen
20077,Persons
47109,Unknown
39003,NA
51199,NA
13109,NA
5111,Unknown
13171,NA
13123,NA
18139,Persons
21067,NA
21049,NA
26049,Specimen
37015,NA
46121,NA
55087,Persons
72137,NA
18105,Persons
8113,NA
19027,Unknown
28141,NA
13279,NA
39085,NA
21087,NA
31035,Unknown
4011,Specimen
21019,NA
20011,Persons
36015,Persons
40001,NA
48195,Specimen
51183,NA
46063,NA
37199,NA
28045,NA
5065,Unknown
18157,Persons
18011,Persons
19121,Unknown
21217,NA
20169,Persons
26015,Specimen
27161,NA
27013,NA
37057,NA
39141,NA
47175,Unknown
48145,Specimen
48305,Specimen
48117,Specimen
72139,NA
56009,Specimen
51073,NA
48267,Specimen
35025,Persons
8023,NA
19077,Unknown
28129,NA
20165,Persons
20097,Persons
29217,Unknown
37077,NA
31077,Unknown
42099,Unknown
17071,Specimen
48221,Specimen
17087,Specimen
51790,NA
17011,Specimen
19021,Unknown
18087,Persons
28153,NA
21171,NA
4019,Specimen
40053,NA
48357,Specimen
40059,NA
72151,NA
17177,Specimen
18091,Persons
36067,Persons
16047,NA
21055,NA
19007,Unknown
21063,NA
24011,Both
22031,Unknown
24015,Both
55078,Persons
19179,Unknown
16055,NA
47075,Unknown
19003,Unknown
17155,Specimen
17169,Specimen
47111,Unknown
19033,Unknown
26023,Specimen
19041,Unknown
37159,NA
56001,Specimen
2016,Specimen
8013,NA
13303,NA
18055,Persons
20109,Persons
21033,NA
26137,Specimen
