fips,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17
47,347316.0,422334.0,598545.0,577091.0,620487.0,606358.0,571081.0,569386.0,587662.0,655084.0,725115.0,671272.0,660656.0,677298.0,728428.0,811427.0,856470.0,852539.0,797054.0,766023.0,784303.0,815505.0
48,941620.0,1351164.0,2267435.0,2273358.0,2146228.0,2048563.0,2042679.0,2278126.0,2518405.0,2460081.0,2421230.0,2312338.0,2178999.0,2395059.0,2980310.0,2929951.0,2880275.0,2706427.0,2545719.0,2419992.0,2702089.0,3230458.0
49,47876.0,112462.0,129847.0,125668.0,153975.0,132445.0,132444.0,157049.0,165707.0,206988.0,160705.0,159973.0,159426.0,174228.0,188361.0,230352.0,194882.0,167212.0,137445.0,136358.0,181400.0,196583.0
51,214074.0,517238.0,556770.0,520051.0,506097.0,450301.0,399569.0,563878.0,542327.0,500123.0,488645.0,435393.0,394896.0,537711.0,525023.0,504756.0,467637.0,463830.0,399289.0,339630.0,610665.0,615832.0
78,10238.0,11932.0,12078.0,18302.0,17396.0,16711.0,16610.0,17944.0,17931.0,16465.0,17406.0,17387.0,18537.0,18338.0,19245.0,20839.0,20298.0,19311.0,19290.0,19239.0,18685.0,17567.0
50,22114.0,34535.0,49790.0,57982.0,55372.0,44352.0,38860.0,55793.0,57671.0,70233.0,76773.0,69571.0,62359.0,68630.0,74420.0,77688.0,72255.0,61280.0,61280.0,53754.0,66043.0,72057.0
53,139988.0,426748.0,499004.0,532145.0,557110.0,515802.0,444980.0,602140.0,629012.0,629873.0,586413.0,513964.0,444596.0,687058.0,685780.0,652639.0,664553.0,630492.0,569741.0,506222.0,730872.0,721471.0
55,49503.0,141558.0,164672.0,265377.0,228322.0,118095.0,87742.0,293015.0,309885.0,279935.0,203413.0,154796.0,119947.0,342229.0,330063.0,328554.0,270567.0,161399.0,160369.0,125339.0,397359.0,381607.0
54,15632.0,42222.0,81658.0,82720.0,69242.0,72960.0,71202.0,108061.0,111012.0,106016.0,129447.0,122125.0,121158.0,166780.0,167712.0,152676.0,126990.0,144618.0,139629.0,137884.0,187126.0,184217.0
56,15270.0,30862.0,36099.0,41520.0,48478.0,39458.0,39114.0,54639.0,54297.0,61691.0,58569.0,58030.0,50485.0,60312.0,69315.0,72425.0,70783.0,63924.0,58105.0,57516.0,56046.0,64500.0
