fips,2021-02-22,2021-02-28,2021-02-13,2021-02-24,2021-01-20,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-26,2021-03-01,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-02-16,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-02-18,2021-01-29,2021-02-01,2021-02-04,2021-01-30,2021-01-28,2021-02-25,2021-01-27,2021-01-14,2021-01-23,2021-02-21,2021-02-17,2021-01-25,2021-01-21,2021-02-23,2021-02-12,2021-01-24,2021-01-15
19,150392.0,175777.0,109660.0,153214.0,13995.0,32547.0,99986.0,74252.0,22429.0,160663.0,185255.0,61085.0,87373.0,80640.0,6099,58367.0,64234.0,119865.0,12629.0,90525.0,89506.0,115407.0,95650.0,124111.0,46785.0,60259.0,69401.0,52324.0,40477.0,155667.0,36067.0,9113.0,26426.0,147615.0,122291.0,32149.0,16860.0,151431.0,104622.0,30949.0,10742.0
16,97370.0,126208.0,46516.0,103129.0,10738.0,14627.0,43231.0,28970.0,13075.0,114807.0,131312.0,22725.0,34322.0,32011.0,4308,21636.0,24171.0,64687.0,10165.0,37002.0,35910.0,56629.0,39608.0,71408.0,18970.0,22468.0,26345.0,20148.0,16724.0,109348.0,15443.0,7276.0,13711.0,92265.0,67805.0,14419.0,11760.0,99518.0,43231.0,14059.0,8843.0
17,566994.0,792853.0,375992.0,611324.0,107651.0,140394.0,330108.0,260248.0,120754.0,691102.0,834142.0,223026.0,288458.0,275276.0,62757,211528.0,230850.0,422981.0,104533.0,302923.0,299201.0,400340.0,314687.0,446598.0,181063.0,219095.0,247763.0,197643.0,162086.0,639901.0,147925.0,82269.0,128907.0,560403.0,431310.0,137465.0,111933.0,591312.0,348826.0,135330.0,91248.0
18,405490.0,568495.0,267774.0,442264.0,58616.0,84719.0,194281.0,142405.0,73986.0,523070.0,582101.0,112864.0,156083.0,156083.0,23546,111233.0,120352.0,303183.0,50862.0,161879.0,156083.0,287278.0,177231.0,320425.0,105208.0,111233.0,129626.0,111233.0,97614.0,497544.0,91255.0,29579.0,77985.0,393133.0,313895.0,83554.0,66801.0,408261.0,213259.0,77985.0,37683.0
20,151375.0,196781.0,91577.0,158944.0,16013.0,25349.0,81948.0,54834.0,19325.0,172744.0,199266.0,44420.0,65559.0,60203.0,9577,39753.0,47394.0,102601.0,15602.0,70115.0,68565.0,99392.0,76561.0,112651.0,31482.0,42297.0,51322.0,36738.0,31429.0,164940.0,26457.0,13054.0,20883.0,148378.0,106249.0,23635.0,17430.0,152471.0,86597.0,22610.0,13496.0
21,262062.0,341409.0,172518.0,279104.0,13829.0,30633.0,151297.0,93651.0,22568.0,309250.0,351189.0,66852.0,122785.0,108050.0,6335,64890.0,73264.0,198180.0,12911.0,129862.0,127793.0,187643.0,139605.0,205575.0,52251.0,66077.0,81502.0,59367.0,43142.0,294202.0,36054.0,8994.0,25566.0,253857.0,202064.0,30010.0,15699.0,268387.0,165324.0,29346.0,10672.0
22,306685.0,380420.0,232766.0,317284.0,35049.0,43189.0,189574.0,131355.0,40385.0,348969.0,385486.0,96606.0,167576.0,150219.0,18314,73436.0,104070.0,255269.0,33967.0,180112.0,176580.0,248848.0,189574.0,259851.0,58132.0,85872.0,115629.0,65136.0,51583.0,330738.0,46954.0,26440.0,41788.0,301923.0,258404.0,43151.0,38095.0,309174.0,217681.0,42520.0,30416.0
25,384582.0,500616.0,235910.0,410360.0,42062.0,65761.0,207392.0,143690.0,51662.0,448622.0,527811.0,126560.0,169148.0,153692.0,19073,116315.0,126560.0,280622.0,41053.0,181280.0,174437.0,259760.0,194968.0,299871.0,96373.0,122652.0,134311.0,106799.0,83637.0,428265.0,73152.0,28822.0,57869.0,367709.0,288309.0,64648.0,46247.0,395361.0,218795.0,63096.0,34885.0
24,354904.0,470511.0,212923.0,383333.0,24355.0,42228.0,181380.0,115640.0,30877.0,422523.0,485911.0,88359.0,146335.0,129951.0,6663,82743.0,91468.0,244272.0,21794.0,154468.0,150844.0,231127.0,168844.0,265183.0,66582.0,87039.0,101425.0,76905.0,56274.0,399241.0,48629.0,12698.0,34090.0,342271.0,253696.0,39259.0,28106.0,366689.0,197848.0,37507.0,15830.0
23,90423.0,106345.0,49721.0,94466.0,10661.0,20096.0,49721.0,38542.0,14893.0,94495.0,106444.0,34299.0,44447.0,40806.0,4518,33121.0,34299.0,64236.0,10018.0,47770.0,44447.0,49721.0,49721.0,65928.0,28255.0,34299.0,36870.0,31055.0,24925.0,94469.0,21707.0,8274.0,17562.0,76101.0,65928.0,19873.0,12071.0,91339.0,49721.0,19151.0,8274.0
