fips,2021-02-22,2021-02-28,2021-02-13,2021-02-24,2021-01-20,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-26,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-02-16,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-02-18,2021-01-29,2021-03-04,2021-02-01,2021-02-04,2021-03-03,2021-01-30,2021-01-28,2021-02-25,2021-01-27,2021-01-14,2021-01-23,2021-02-21,2021-02-17,2021-01-25,2021-01-21,2021-02-23,2021-02-12,2021-03-02,2021-01-24,2021-01-15
2,153349.0,166432.0,122463.0,156027.0,56911.0,81200.0,116001.0,101225.0,67262.0,161333.0,97076.0,106311.0,103163.0,22486,94889.0,98076.0,129658.0,55434.0,110936.0,109890.0,126381.0,112448.0,133491.0,88654.0,172050.0,96396.0,99596.0,170243.0,91794.0,85672.0,158560.0,83363.0,35508.0,73014.0,152349.0,130751.0,80226.0,59449.0,154392.0,118189.0,168315.0,77925.0,39546.0
1,570355.0,634792.0,467032.0,591009.0,121113.0,223854.0,431259.0,353522.0,174317.0,613097.0,312711.0,375567.0,370275.0,70861,298301.0,324998.0,486206.0,114319.0,395196.0,378514.0,474065.0,412462.0,505660.0,256601.0,672546.0,301628.0,338845.0,658906.0,288368.0,241337.0,601343.0,232633.0,80480.0,193955.0,567505.0,494424.0,220464.0,144429.0,580477.0,448071.0,647752.0,213833.0,86956.0
5,370403.0,418453.0,330146.0,378225.0,144792.0,196815.0,316972.0,274459.0,167788.0,394007.0,251841.0,300139.0,290153.0,39357,244867.0,256307.0,343637.0,118763.0,305917.0,304604.0,338611.0,311339.0,346623.0,221552.0,451127.0,249943.0,266563.0,441126.0,233935.0,209445.0,384549.0,209445.0,90339.0,167788.0,367436.0,345271.0,185546.0,144792.0,372786.0,325562.0,430748.0,179290.0,97829.0
60,10978.0,12276.0,10062.0,11738.0,4476.0,7365.0,9822.0,9775.0,5627.0,12275.0,9713.0,9779.0,9779.0,842,8926.0,9759.0,10236.0,3985.0,9792.0,9779.0,10062.0,9818.0,10267.0,8926.0,13386.0,9713.0,9761.0,12949.0,8926.0,8133.0,11738.0,8133.0,2409.0,5881.0,10948.0,10267.0,7096.0,4734.0,10978.0,10057.0,12949.0,7096.0,3144.0
4,1108935.0,1250251.0,811080.0,1137371.0,246960.0,366018.0,747599.0,597525.0,280227.0,1196045.0,534476.0,656909.0,629750.0,95141,500942.0,553373.0,886107.0,235331.0,695970.0,678697.0,840252.0,719051.0,914468.0,439897.0,1329996.0,524413.0,573845.0,1308334.0,469916.0,412841.0,1163157.0,389059.0,157397.0,305744.0,1087921.0,892791.0,350648.0,262120.0,1121773.0,780057.0,1293835.0,332095.0,176213.0
6,5503523.0,6151911.0,4345018.0,5649200.0,1255311.0,2053652.0,4108216.0,3228084.0,1477195.0,5871818.0,2940488.0,3653538.0,3389906.0,703540,2717530.0,3044980.0,4708607.0,1195969.0,3880253.0,3811715.0,4493220.0,3994969.0,4865151.0,2415659.0,6751368.0,2861767.0,3085932.0,6672891.0,2563559.0,2281453.0,5746607.0,2156029.0,801998.0,1661683.0,5426591.0,4766592.0,1954048.0,1335886.0,5569473.0,4222810.0,6531816.0,1838464.0,865387.0
8,831826.0,901520.0,609445.0,847375.0,287174.0,372266.0,570979.0,495381.0,313217.0,876277.0,464938.0,528379.0,512024.0,187838,440576.0,472820.0,686889.0,278639.0,542165.0,539961.0,631243.0,557204.0,724699.0,409939.0,972301.0,455422.0,485332.0,954209.0,423054.0,394156.0,860120.0,381679.0,209300.0,313211.0,817009.0,704742.0,364889.0,296816.0,832798.0,586187.0,935733.0,355124.0,223761.0
9,595390.0,693595.0,462710.0,618330.0,213145.0,291257.0,437058.0,387627.0,248753.0,652910.0,361495.0,402227.0,395554.0,56350,349879.0,365975.0,494373.0,201664.0,412601.0,406697.0,473106.0,423296.0,525133.0,329149.0,763026.0,357588.0,375795.0,740054.0,340886.0,315317.0,629625.0,302710.0,156366.0,264042.0,579380.0,509165.0,282674.0,230913.0,602697.0,450204.0,722628.0,275126.0,166722.0
11,109636.0,127752.0,81699.0,113188.0,41135.0,51399.0,79776.0,69999.0,44773.0,116035.0,64241.0,73505.0,71810.0,0,61737.0,65207.0,87243.0,39747.0,75351.0,75351.0,84740.0,75351.0,88924.0,57152.0,135292.0,63208.0,66645.0,131466.0,59570.0,55599.0,114383.0,53590.0,29927.0,47088.0,109045.0,88287.0,50902.0,43377.0,110923.0,80772.0,129734.0,49292.0,31667.0
10,134698.0,146867.0,111918.0,135908.0,38610.0,56646.0,105760.0,92265.0,45292.0,140833.0,85143.0,98450.0,94962.0,15911,82970.0,88325.0,117600.0,35679.0,101383.0,100736.0,114564.0,103319.0,121487.0,72684.0,157521.0,84482.0,89727.0,152876.0,76980.0,68959.0,137830.0,64952.0,25649.0,49442.0,133251.0,118666.0,55131.0,41900.0,135175.0,108096.0,148497.0,52586.0,25649.0
12,2879026.0,3222786.0,2304435.0,2936823.0,1125338.0,1412466.0,2118750.0,1812723.0,1186719.0,3032041.0,1712327.0,1965590.0,1865090.0,586741,1656005.0,1752699.0,2441429.0,1068787.0,2023419.0,1965590.0,2366552.0,2064585.0,2562863.0,1554179.0,3391582.0,1683674.0,1793625.0,3297947.0,1610425.0,1497903.0,2983316.0,1451507.0,709002.0,1333116.0,2877011.0,2498089.0,1384407.0,1125338.0,2884231.0,2235645.0,3243667.0,1384479.0,776430.0
13,1210708.0,1282033.0,987693.0,1225659.0,356010.0,591385.0,967179.0,860543.0,533665.0,1261421.0,790354.0,912189.0,887597.0,85110,766875.0,813214.0,1040075.0,278151.0,927176.0,923282.0,1027629.0,946505.0,1073929.0,693085.0,1333071.0,785487.0,834091.0,1309558.0,729117.0,659212.0,1241431.0,622905.0,204301.0,534161.0,1202374.0,1040075.0,534161.0,407000.0,1213224.0,967179.0,1290937.0,534161.0,204301.0
66,32386.0,34495.0,27348.0,33193.0,3785.0,13378.0,26019.0,21871.0,3785.0,33706.0,19700.0,23564.0,23195.0,401,17784.0,20785.0,27946.0,3785.0,24420.0,23693.0,27647.0,25308.0,29055.0,16747.0,34950.0,18538.0,20785.0,34560.0,17784.0,15405.0,33687.0,14269.0,3785.0,3785.0,32024.0,28460.0,3785.0,3785.0,32809.0,26699.0,34540.0,3785.0,3785.0
15,223785.0,246296.0,159583.0,227011.0,58111.0,75820.0,150648.0,126683.0,67991.0,236307.0,110757.0,137230.0,132701.0,0,103398.0,115440.0,168479.0,52635.0,142259.0,142259.0,162945.0,142259.0,174151.0,89428.0,257320.0,108745.0,120533.0,251867.0,96743.0,84139.0,231599.0,79147.0,0.0,67990.0,219881.0,170911.0,74296.0,63282.0,224806.0,154828.0,249631.0,67990.0,39690.0
19,454792.0,530741.0,317851.0,462422.0,133528.0,162795.0,282596.0,215693.0,145642.0,487097.0,195234.0,237554.0,224437.0,91969,190689.0,199242.0,360301.0,130042.0,257459.0,252349.0,335771.0,268974.0,377848.0,174655.0,563586.0,194009.0,206516.0,553471.0,182537.0,169341.0,469234.0,165466.0,100805.0,151145.0,445872.0,367577.0,161445.0,139500.0,457493.0,299032.0,546916.0,157635.0,108056.0
16,227171.0,253640.0,163950.0,231667.0,58328.0,78484.0,159796.0,120147.0,64295.0,240499.0,102959.0,140916.0,133810.0,31504,98287.0,107234.0,187653.0,53609.0,151372.0,149231.0,174495.0,155238.0,195596.0,88975.0,271981.0,100946.0,113110.0,267570.0,93632.0,85373.0,235862.0,80857.0,35179.0,68292.0,222381.0,191063.0,76199.0,61118.0,229220.0,159796.0,263060.0,72424.0,37646.0
17,1750507.0,1987775.0,1364527.0,1811338.0,425824.0,590212.0,1243706.0,962345.0,479848.0,1907053.0,831556.0,1086599.0,1028487.0,284035,781536.0,859076.0,1498639.0,414362.0,1148175.0,1131846.0,1421577.0,1198096.0,1557154.0,685529.0,2135813.0,817253.0,905981.0,2092244.0,733006.0,643555.0,1840030.0,611024.0,316876.0,518779.0,1742360.0,1531557.0,578406.0,452010.0,1786799.0,1294565.0,2059448.0,556517.0,341518.0
18,884201.0,1005101.0,749756.0,911746.0,297720.0,413982.0,637068.0,568118.0,340055.0,966033.0,499215.0,593266.0,593266.0,114781,495746.0,517147.0,787050.0,283779.0,598731.0,593266.0,770193.0,617918.0,803800.0,475928.0,1053442.0,495746.0,541269.0,1035893.0,495746.0,454380.0,946248.0,432791.0,203889.0,367944.0,874152.0,797872.0,408181.0,320266.0,887936.0,659495.0,1021414.0,367944.0,222599.0
20,359269.0,408501.0,273430.0,367813.0,105679.0,132153.0,248979.0,206997.0,116569.0,383658.0,185065.0,228774.0,218170.0,53988,180156.0,192026.0,291726.0,101824.0,233494.0,232575.0,287680.0,241127.0,302165.0,157720.0,439753.0,183035.0,198352.0,429853.0,168343.0,157536.0,373244.0,140685.0,77590.0,122813.0,356901.0,295950.0,129861.0,111907.0,360817.0,261332.0,421149.0,127417.0,83293.0
21,573961.0,674617.0,474397.0,592151.0,208664.0,279715.0,454145.0,387902.0,229873.0,632114.0,350622.0,422976.0,406790.0,102517,337738.0,360015.0,510373.0,201688.0,436193.0,434294.0,488161.0,442691.0,517316.0,312373.0,737786.0,347384.0,372114.0,715889.0,324581.0,297108.0,609932.0,285291.0,145320.0,243620.0,566677.0,514681.0,275610.0,217837.0,579549.0,468357.0,702822.0,268308.0,162733.0
22,594561.0,673772.0,501286.0,601456.0,228831.0,301874.0,448139.0,404021.0,256670.0,627019.0,378574.0,431119.0,419327.0,117022,369486.0,384041.0,528052.0,221109.0,438336.0,436190.0,518682.0,448139.0,533933.0,339450.0,728267.0,376491.0,393389.0,709457.0,355024.0,323609.0,610568.0,311135.0,149064.0,272630.0,590652.0,531448.0,297684.0,240762.0,596165.0,482025.0,694173.0,290955.0,167193.0
