fips,severity_index,deaths_2020_05_19,deaths_intervals_2020_05_19,deaths_2020_05_20,deaths_intervals_2020_05_20,deaths_2020_05_21,deaths_intervals_2020_05_21,deaths_2020_05_22,deaths_intervals_2020_05_22,deaths_2020_05_23,deaths_intervals_2020_05_23,deaths_2020_05_24,deaths_intervals_2020_05_24,deaths_2020_05_25,deaths_intervals_2020_05_25
36047,3,6256.5,"(6248, 6313.24062695282)",6271.2,"(6248, 6375.599721576865)",6285.9,"(6248, 6423.2095693413185)",6300.8,"(6248, 6421.947256329567)",6315.7,"(6248, 6501.97432371757)",6330.7,"(6248, 6545.602618454597)",6345.5,"(6248, 6635.43814057621)"
36081,3,5975.6,"(5964, 6000.174230861952)",5990.3,"(5964, 6024.463161413335)",6005,"(5964, 6051.045744403248)",6019.6,"(5964, 6105.502000620761)",6034.2,"(5964, 6201.248349754044)",6048.8,"(5964, 6399.557770296992)",6063.2,"(5964, 6462.390543914035)"
36005,3,3998.6,"(3991, 4030.7589531770623)",4010.1,"(3991, 4067.47868310649)",4021.7,"(3991, 4095.634020600055)",4033.2,"(3991, 4102.503725949536)",4044.7,"(3991, 4153.841600181733)",4056,"(3991, 4185.476736754105)",4066.9,"(3991, 4242.103786244665)"
17031,3,2937.8,"(2889, 3013.0409692844655)",2988.9,"(2889, 3156.78805337763)",3040.4,"(2889, 3275.9239122783456)",3092,"(2889, 3360.452332756989)",3143.9,"(2964.3630130315505, 3313.9967436267953)",3196.3,"(2968.5811797458477, 3417.3592586145337)",3248.4,"(2959.607760212796, 3537.1435916131036)"
36061,3,2549.7,"(2537, 2572.161508578326)",2561.9,"(2537, 2607.000773128843)",2573.1,"(2537, 2643.1059943892938)",2583.3,"(2537, 2654.076026163869)",2592.1,"(2537, 2694.7572881074425)",2598.6,"(2537, 2792.233969763265)",2602.7,"(2537, 2884.722685992688)"
26163,3,2247.7,"(2226, 2270.3105757559965)",2268.8,"(2226, 2302.6380834686465)",2289.6,"(2226, 2348.4752508994407)",2309.8,"(2226, 2387.2913670417856)",2328.7,"(2230.519199025391, 2408.9052838789707)",2345.4,"(2226, 2458.9483557344106)",2360.2,"(2226, 2498.9801168395707)"
36059,3,2069.3,"(2053, 2077.591284914997)",2085.2,"(2053.56180640077, 2102.344982312548)",2100.2,"(2055.371507212704, 2126.3827139221)",2113.9,"(2055.5407966345247, 2152.5576647385797)",2126.3,"(2053.8141765488535, 2181.193627762523)",2136.8,"(2053, 2261.7301051034196)",2145.4,"(2053, 2350.1281105481303)"
6037,3,1878.5,"(1846.73662033593, 1907.1665463165311)",1913.6,"(1850.1011808146711, 1971.5748311378704)",1949,"(1859.8541323924499, 2030.781142981674)",1984.5,"(1892.1656700667636, 2068.8168415890923)",2020,"(1916.250739034127, 2116.533906960887)",2055.7,"(1893.2786007463365, 2213.126766349378)",2091.1,"(1900.4200521411972, 2281.685287860255)"
36103,3,1778.9,"(1759.0365252395043, 1794.3221844194256)",1799.5,"(1770.2031344974116, 1820.8744805067176)",1819.9,"(1754, 1905.4996360728785)",1839.7,"(1754, 1969.4893215921752)",1858.8,"(1754, 2032.23851313613)",1877.1,"(1754, 2244.116429971165)",1894.3,"(1754, 2357.5488565205383)"
34013,3,1564.7,"(1546, 1585.4293091981554)",1585.5,"(1546, 1630.555895009495)",1606.4,"(1546, 1665.5797472725576)",1627.4,"(1546.87246042793, 1700.220930255349)",1648.3,"(1575.6568659459822, 1713.271107653984)",1668.8,"(1546, 1790.4135862444093)",1688.4,"(1546, 1849.823179493458)"
34003,3,1476,"(1460, 1492.206872470633)",1491.5,"(1460, 1525.5571796661475)",1506.5,"(1460, 1560.072204199398)",1520.8,"(1460, 1591.6812721959197)",1534.1,"(1460, 1600.6540043977952)",1545.8,"(1460, 1635.587548380005)",1555.6,"(1460, 1723.73346846699)"
25017,3,1444.5,"(1418.5150548009613, 1465.2318503473218)",1476.1,"(1429.9363638179063, 1513.1109029172892)",1507.5,"(1435.2149014471663, 1567.8448666663005)",1538.8,"(1465.8970981135824, 1598.1828642461433)",1569.6,"(1490.990333194883, 1635.4784182931276)",1599.9,"(1504.4759396960883, 1686.1779418673257)",1628.4,"(1512.0353070633753, 1744.6659579903)"
36119,3,1311.7,"(1295.959382026613, 1317.3243971640784)",1326.8,"(1303.0739997595547, 1332.3759399921921)",1340.5,"(1306.65660629098, 1351.1251944811925)",1352.4,"(1314.5599226905454, 1365.745589393516)",1362.3,"(1316.7958888932371, 1386.3174652080286)",1369.9,"(1295, 1467.863546503839)",1374.9,"(1295, 1525.299353639381)"
9001,3,1177.8,"(1160.5436528463658, 1192.9984259918754)",1200.6,"(1171.7212499771051, 1225.3629833002506)",1223.8,"(1174.3275625193703, 1267.403798952767)",1247.2,"(1195.7675121738362, 1291.8026524706834)",1270.7,"(1194.0844195674656, 1340.7074863738146)",1294.1,"(1194.6011603766613, 1388.951824498556)",1317,"(1203.4718303279733, 1430.4550875747236)"
42101,3,1105.2,"(1080, 1189.6397740110995)",1133.5,"(1080, 1231.1908640016518)",1160.2,"(1080, 1244.4259989417646)",1184.6,"(1089.8672545877605, 1255.9040913565048)",1208.5,"(1080, 1401.5743184736937)",1230.3,"(1080, 1479.3689302728264)",1248.5,"(1080, 1543.4024843678244)"
9003,3,1103,"(1084, 1129.4299163413934)",1121.2,"(1084, 1174.5381303318622)",1139.4,"(1084, 1210.107180242334)",1157.9,"(1084, 1236.9533387920176)",1176.4,"(1084, 1270.7362258419582)",1194.5,"(1092.5215554239212, 1293.0131559100137)",1210.8,"(1114.1334452583324, 1307.4865349242236)"
34017,3,1077.6,"(1068, 1089.7100838244428)",1085.3,"(1068, 1115.6670103302185)",1090.1,"(1068, 1122.8889232459421)",1091.5,"(1068, 1130.878018646139)",1089.1,"(1068, 1131.2493973070964)",1082.4,"(1068, 1141.6763745355067)",1071,"(1068, 1150.9966067070384)"
34039,3,976.5,"(962, 985.3860918168065)",989.9,"(962, 1008.14075538537)",1002.3,"(962, 1028.3568628583018)",1013.5,"(962, 1054.51902537725)",1023.5,"(979.0194924721906, 1052.2338125630627)",1031.6,"(965.9051028325665, 1086.930381931663)",1037.4,"(962, 1123.7967743236766)"
26125,3,918.8,"(913, 925.1832784673776)",922.6,"(913, 931.3797496539904)",925.9,"(913, 937.0399830473777)",928.3,"(913, 943.204085129876)",929.4,"(913, 948.4232477842944)",928.7,"(913, 983.934606727975)",926.2,"(913, 1017.0030215358272)"
34023,3,904,"(888, 916.7231527022929)",918.7,"(888, 943.3182835693128)",932.6,"(888, 972.304931980674)",945.5,"(903.7474388987355, 970.3071170392305)",957.1,"(919.8159395333047, 978.6192053457135)",966.8,"(892.5769718849712, 1030.796666589597)",974.3,"(888, 1076.7220444341383)"
34031,3,854.5,"(839, 867.046065195373)",867.2,"(839, 888.1890241355894)",878.7,"(839, 904.2565568544256)",888.7,"(839, 919.6359724707563)",896.8,"(862.5842587304152, 912.0417154257298)",902.7,"(875.433153115576, 917.7909494090632)",906.1,"(852.5089317929861, 959.7282386557022)"
9009,3,849,"(838.985330469402, 855.1639476643365)",867.3,"(849.4541210031472, 878.2253397595899)",885.3,"(862.7919479918077, 898.5836431281871)",903,"(880.7552060314185, 914.4881131896552)",919.9,"(889.0113086758814, 940.5046323347781)",935.7,"(901.4396381923817, 962.7441964898887)",949.7,"(915.1077855949318, 984.3519318697521)"
25009,3,808.2,"(790.9187245744572, 820.0742773301067)",826.2,"(796.4706769760754, 846.5926293714747)",843.8,"(801.278386133583, 873.8973729448803)",860.6,"(830.6429908785568, 876.9151736652638)",876.6,"(848.7659296156272, 891.6753821833232)",891.4,"(856.2845711623319, 917.737443039191)",904.2,"(863.5858661002349, 944.8208478140024)"
25025,3,806.6,"(795.0763946567039, 810.6503210353823)",818.7,"(799.2668645454606, 825.1784509342453)",829.7,"(798.0759427133908, 844.7612923636325)",839.3,"(795.7325229912261, 865.2703916057427)",847.5,"(794.34519936131, 884.8245700298123)",853.9,"(793, 907.5678707795864)",857.9,"(793, 929.697272641685)"
26099,3,742.9,"(740, 749.7562854948995)",744.2,"(740, 759.171520880383)",745.1,"(740, 765.5237205096886)",745.3,"(740, 768.9239059061166)",744.5,"(740, 774.6517067698572)",742.2,"(740, 774.9150871600044)",740,"(740, 774.1317712237734)"
25021,3,740.8,"(728, 754.1079663213292)",753.2,"(728, 781.4967047165909)",765.9,"(728, 805.5832846459822)",778.9,"(745.6256742251239, 808.6394281323539)",792,"(757.0275559460201, 823.0172818964479)",804.9,"(749.7876217770803, 856.5877509400748)",816.8,"(743.9499189252272, 889.7118456437831)"
36085,2,697.6,"(694, 827.6815332221095)",694,"(694, 792.0541603237752)",694,"(694, 761.7069552829446)",694,"(694, 725.4532228736962)",694,"(694, 691.3828309866434)",694,"(694, 651.2060148512542)",694,"(694, 609.8446735834656)"
34029,3,644.4,"(633, 656.1883807554242)",655.5,"(636.4752114279886, 672.1985868513739)",666.4,"(637.4755317066508, 692.404379170029)",677.1,"(649.3190373196876, 701.0788624124207)",687.7,"(678.3989863341193, 692.1684984753498)",697.4,"(676.1005751486523, 715.0176504970613)",706.1,"(679.8523406308959, 732.3145541444762)"
25027,3,594.1,"(581, 624.1051938235312)",606.1,"(581, 655.7725222445347)",617.6,"(581, 671.2471724739329)",628.1,"(581, 688.8107929102185)",637.7,"(581, 705.231322012614)",645.9,"(581, 716.9104424609465)",652,"(603.9161684499513, 700.0781610785803)"
12086,3,578.9,"(566, 594.4485085816199)",591.1,"(566, 618.7847811417017)",603,"(566, 640.2549495739864)",614.4,"(566, 656.4842079748591)",625.4,"(566, 682.6539537932126)",635.8,"(566, 728.5229817789044)",645.1,"(566, 773.3851922422064)"
34027,3,575.7,"(569, 583.7196018086478)",582.3,"(570.2128599226329, 590.5447107634742)",588.7,"(573.2814182886386, 598.591331989332)",594.6,"(573.4546995116807, 609.2832294065151)",600,"(580.5623976617715, 612.9089694154466)",604.4,"(574.0396732700906, 630.1510653459808)",607.5,"(569, 665.9565716328502)"
42091,3,560.6,"(556, 573.6463174728275)",565.1,"(556, 589.6745031486006)",569.3,"(556, 605.319857574986)",573.2,"(556, 619.881992280708)",577.2,"(556, 637.3087602061358)",580.9,"(556, 669.0005568715817)",583.6,"(556, 710.0378858833308)"
53033,3,535.3,"(528, 542.8444975642219)",542,"(528, 556.17634829277)",548.6,"(528, 568.6128823804337)",555,"(528, 582.1622078759683)",561.1,"(528, 597.8057923685485)",566.7,"(528, 613.502402146635)",571.6,"(528, 618.9595677404806)"
25013,3,524.6,"(517, 531.2607533625882)",530.1,"(517, 545.3880820176297)",535.2,"(517, 556.4316080668154)",539.9,"(517, 567.8058289984162)",544.2,"(517, 580.916965023778)",547.8,"(517, 593.783000686906)",550.1,"(517, 606.5500264382326)"
34025,3,517.5,"(513, 525.6888433910531)",521.1,"(513, 538.9878724036225)",523.9,"(513, 554.8080654378043)",525.6,"(513, 573.2621451203548)",526.3,"(513, 583.6311986824786)",525.5,"(513, 590.6154729668002)",523.2,"(513, 597.6529486960907)"
22071,3,501,"(495, 507.7215700089377)",505.9,"(495, 517.37965996921)",510.6,"(495, 520.4935767377947)",514.9,"(495.8203483155042, 526.031873100018)",518.5,"(495, 535.5394468343637)",521.3,"(501.6404002916098, 536.0635707609628)",523,"(495, 560.890846193147)"
18097,3,488.8,"(480, 495.65645360026775)",496.4,"(480, 510.2903851553991)",503.6,"(480, 518.2454623336606)",510,"(485.0797562944612, 523.6539785301643)",515.4,"(492.0710581529398, 528.5684170001196)",519.6,"(499.29848832961005, 533.1019288426471)",522.3,"(502.04541745851037, 542.5409889483575)"
36087,3,486,"(479, 489.335206472165)",492.5,"(479, 497.93389189400875)",498.3,"(479, 507.1583569472771)",503.2,"(480.38123044643766, 513.9578907342773)",507.1,"(479, 524.9099704985373)",509.7,"(479, 534.7723813531471)",511.1,"(479, 556.679784201389)"
27053,3,476.1,"(467, 481.416377114545)",484.9,"(468.86755437206057, 493.49529119511794)",493.2,"(470.4808169170432, 506.2953959991817)",500.9,"(473.6825373624585, 517.7208888661647)",508.3,"(491.95942336792615, 515.1787605459075)",515.2,"(495.7803308452377, 528.2366817162564)",520.9,"(496.3471392709315, 545.5026034753483)"
25023,3,473.1,"(464.9203896724487, 477.54762439956573)",481.3,"(466.07850659018305, 489.7744879106607)",488.9,"(470.4121081346014, 498.59861399818874)",495.9,"(481.0755047071227, 501.10537508017484)",502.2,"(490.5965882124656, 504.7548015550478)",507.4,"(496.91858981756707, 511.7509397281434)",511.1,"(498.9478946200847, 523.1849073350317)"
24031,3,456.9,"(445.41616613137484, 465.91481595679795)",470.6,"(457.1072140406726, 479.0443966181685)",484.1,"(466.3632263307051, 494.8386681950477)",497.3,"(472.4158622255271, 514.491292260648)",510,"(486.5358287358643, 526.6229038925928)",522.3,"(504.10287262455057, 536.1027563549235)",534,"(511.41594257513714, 556.6469733995933)"
42045,3,439.6,"(436, 450.12774154140845)",442.7,"(436, 460.52946339384306)",445.4,"(436, 470.618556152849)",447.4,"(436, 480.91821882272325)",449.2,"(436, 491.02858779999275)",450.2,"(436, 505.17410182059245)",450,"(436, 534.3761834079105)"
22051,3,435.3,"(430, 443.71742300854174)",439.5,"(430, 447.0899405792827)",443.2,"(430, 454.8741256315273)",446.1,"(430, 459.2909055525827)",448,"(431.5477470506908, 454.40562475653707)",448.7,"(434.30871904193265, 456.54020134871445)",447.9,"(437.1085219912904, 458.7070544762699)"
36029,3,434.4,"(429.8801036653736, 436.98738493405216)",442,"(432.90881375116174, 447.36186684445073)",449.4,"(440.22276410490844, 453.4691019335028)",456.4,"(448.29013734900053, 458.73012366151244)",463,"(452.0949463426296, 468.4624056919503)",468.8,"(426, 532.0725590044692)",473.7,"(426, 571.8644668516736)"
24033,3,426.2,"(415.7717635632, 431.61923079379085)",437,"(419.46218392551697, 445.3392503301782)",447.2,"(420.71437647798444, 461.49063101861856)",456.6,"(428.4657436805151, 471.5694653318878)",464.8,"(440.5889357235384, 477.55731982398584)",472,"(442.26702981797337, 494.4224160702197)",477.8,"(452.1244967684692, 503.5609350219973)"
42017,3,422,"(417, 436.81893304630665)",426.2,"(417, 449.053979077084)",430.3,"(417, 456.9500377073416)",434,"(417, 469.85189611038334)",437.8,"(417, 474.9969487651175)",441.1,"(417, 472.2915406224442)",443.5,"(417, 498.13048535278585)"
34021,3,416.1,"(408, 423.86892147851137)",422.5,"(408, 438.37156376265284)",428.4,"(408, 451.8800615272328)",434,"(408, 462.79611818188374)",439.1,"(408, 474.4792211903405)",443.2,"(408, 487.33807759964225)",446.2,"(408, 488.2284474740603)"
11001,3,402.6,"(395.3795370293055, 407.2659845675339)",413.6,"(400.4031418718591, 421.6881883251928)",424.4,"(406.13455702603477, 435.6024810291956)",435,"(413.68455576118185, 448.38587029692854)",445,"(414.48158623013745, 468.4316123372389)",454.5,"(420.12364643084715, 484.27548215660346)",463.3,"(422.4996594987102, 504.106909446699)"
34035,3,381.3,"(375, 388.5094429582733)",386.6,"(375, 398.2182886355184)",391.8,"(375.31909061240134, 405.0984128682092)",396.7,"(375, 417.1721576773501)",401.3,"(378.6479023500098, 419.74732753680024)",405.1,"(381.5437455238012, 425.6369443798406)",407.9,"(385.41963672789325, 430.46402760093747)"
36071,3,358.1,"(350.5024134291951, 362.0094088414095)",365.2,"(352.5087356799343, 371.1620724012609)",371.8,"(356.38327307599553, 378.4538834957096)",377.8,"(356.99804826712244, 389.1117028335359)",382.9,"(356.2656558636984, 401.22071060036296)",387.1,"(350, 438.30023016841983)",390.3,"(350, 462.47340246029245)"
29189,3,341.8,"(336, 348.11951998740767)",346.6,"(336, 364.14793495534303)",351.1,"(336, 376.7543171684257)",355.5,"(336, 387.79536695356086)",359.6,"(336, 398.2995997088947)",363.4,"(336, 400.66772372202036)",366.9,"(336, 401.8342384605133)"
4013,3,333.7,"(324, 342.523917536586)",342,"(324, 363.5752830864328)",349.9,"(324, 375.2676628482698)",357.1,"(324, 395.0378695118479)",363.8,"(324, 406.7354195071521)",370,"(328.328171470393, 406.7534155990914)",375,"(330.8291005486868, 419.10405022196767)"
25005,3,331.4,"(326.12595929681936, 334.20107507049613)",337.7,"(326.13503970670234, 345.2417517779173)",343.9,"(330.56394941853097, 351.78932947491893)",349.5,"(330.1651875320217, 362.95616724170077)",354.5,"(333.10444211425175, 370.6279335560923)",358.7,"(339.7427187038839, 373.8959199249867)",361.7,"(343.73064180321455, 379.74613016082424)"
17043,3,307.2,"(300, 311.9541102990364)",313.5,"(300, 324.26886018142966)",319.5,"(300.8504544505504, 332.3724083213656)",325.1,"(305.27819203530345, 338.46916693571137)",330,"(311.9419320530603, 342.35581167090163)",334.5,"(319.5938520191846, 345.45882974850997)",338.1,"(322.34123284222494, 353.8004609796879)"
32003,3,301.4,"(296, 307.5511081976864)",306.3,"(296, 317.5904513013924)",310.8,"(296, 328.99238483952985)",315.2,"(296, 331.86943559137575)",318.9,"(304.5004852754071, 328.67470352829446)",322.4,"(296, 345.95968841881233)",325.1,"(298.754640465297, 351.48863416021885)"
51059,3,290.8,"(284, 294.9398672083731)",296.9,"(285.0511785909146, 303.2389709439679)",302.6,"(285.2709002170088, 312.4983886945192)",307.7,"(284.29235464165043, 323.16179652796995)",312.1,"(287.7344850394981, 329.4843530582637)",315.8,"(296.36768872687435, 330.83822563156286)",318.7,"(302.1234784821394, 335.24230470954456)"
