fips,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-01-29,2021-02-01,2021-01-30,2021-01-28,2021-01-27,2021-01-14,2021-01-23,2021-01-25,2021-01-21,2021-01-24,2021-01-15
2,64776.0,107977.0,111698.0,74404.0,73532.0,102418.0,109353.0,105762,73560.0,104210.0,84119.0,104026.0,97566.0,87719.0,104045.0,81954.0,71130.0,77882.0,72217.0,68978.0,107854.0,67356.0,58669.0,82418.0,61443.0,101411.0
1,314041.0,368638.0,369278.0,320211.0,308668.0,341768.0,348927.0,298891,305426.0,376811.0,313855.0,332631.0,336464.0,353296.0,345373.0,358485.0,301120.0,316964.0,376282.0,367556.0,343050.0,299685.0,270613.0,327206.0,277488.0,344083.0
5,158485.0,162972.0,184375.0,160374.0,153330.0,146605.0,165376.0,233521,149907.0,176878.0,155463.0,176648.0,138386.0,158164.0,163821.0,183507.0,142470.0,165049.0,200476.0,153351.0,189484.0,166974.0,147555.0,188238.0,154410.0,179462.0
60,10135.0,15937.0,17421.0,11881.0,7689.0,17191.0,17191.0,8526,8525.0,7384.0,13694.0,16770.0,17191.0,14068.0,16132.0,8525.0,7689.0,8525.0,9365.0,9365.0,7679.0,11619.0,10404.0,12786.0,10404.0,14567.0
4,406308.0,449900.0,466542.0,492701.0,450388.0,376770.0,419212.0,421670,419271.0,524960.0,305449.0,402143.0,344982.0,304420.0,472418.0,491178.0,392767.0,456006.0,524226.0,531742.0,396960.0,468542.0,415838.0,493651.0,438877.0,374639.0
6,2893698.0,2687436.0,2852718.0,2910946.0,2126683.0,2478334.0,2825900.0,2469749,2381199.0,2672609.0,2088145.0,2600747.0,2280638.0,2238937.0,2649803.0,2729663.0,2213266.0,2570369.0,2800224.0,2872909.0,2564882.0,2898305.0,2575892.0,2745625.0,2706617.0,2475616.0
8,268704.0,347667.0,327372.0,293917.0,270528.0,261180.0,296215.0,292322,244166.0,323675.0,201483.0,287440.0,239115.0,283668.0,323534.0,291521.0,223613.0,268044.0,311244.0,300523.0,277069.0,315417.0,244820.0,304056.0,258204.0,259542.0
9,173032.0,212076.0,165778.0,189810.0,118560.0,206359.0,220900.0,99380,141758.0,143592.0,99251.0,245903.0,197886.0,180021.0,226575.0,174255.0,129347.0,157409.0,190615.0,182984.0,156778.0,186054.0,161586.0,170368.0,171113.0,142909.0
11,32852.0,81880.0,68088.0,33361.0,63572.0,61131.0,64919.0,32913,67999.0,74860.0,18337.0,58475.0,58475.0,72587.0,71250.0,74997.0,66006.0,71853.0,73586.0,39489.0,31646.0,31232.0,26831.0,20067.0,28634.0,28391.0
10,60743.0,48855.0,47299.0,62068.0,40005.0,38097.0,43050.0,61915,43821.0,47156.0,48693.0,35002.0,34875.0,41638.0,53134.0,56475.0,41078.0,51266.0,59536.0,63401.0,60160.0,56302.0,49411.0,57231.0,52139.0,60160.0
