FIPS,State,County,LfExpRt,SlfHlthPrc
1,Alabama,,75.4,22
2,Alaska,,78.8,18
4,Arizona,,79.9,19
5,Arkansas,,75.9,23
6,California,,81.6,17
8,Colorado,,80.5,14
9,Connecticut,,80.9,14
10,Delaware,,78.4,18
11,District of Columbia,,78.6,13
12,Florida,,80,17
13,Georgia,,77.8,18
15,Hawaii,,82.3,14
16,Idaho,,79.3,15
17,Illinois,,79.3,17
18,Indiana,,77,20
19,Iowa,,79.4,14
20,Kansas,,78.5,16
21,Kentucky,,75.4,24
22,Louisiana,,76.1,22
23,Maine,,78.7,15
24,Maryland,,79.1,15
25,Massachusetts,,80.5,14
26,Michigan,,78,17
27,Minnesota,,80.9,12
28,Mississippi,,74.9,24
29,Missouri,,77.3,18
30,Montana,,78.8,15
31,Nebraska,,79.6,14
32,Nevada,,78.5,20
33,New Hampshire,,79.5,13
34,New Jersey,,80.4,18
35,New Mexico,,78.1,21
36,New York,,81.3,17
37,North Carolina,,78,18
38,North Dakota,,79.9,15
39,Ohio,,76.9,18
40,Oklahoma,,76,21
41,Oregon,,79.8,17
42,Pennsylvania,,78.3,18
44,Rhode Island,,79.9,16
45,South Carolina,,77,18
46,South Dakota,,79.1,13
47,Tennessee,,76,20
48,Texas,,79.1,21
49,Utah,,79.9,14
50,Vermont,,79.7,13
51,Virginia,,79.5,16
53,Washington,,80.4,16
54,West Virginia,,74.8,24
55,Wisconsin,,79.4,17
56,Wyoming,,79,15
