fips,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-01-29,2021-02-01,2021-01-30,2021-01-28,2021-01-27,2021-01-14,2021-01-23,2021-01-25,2021-01-21,2021-01-24,2021-01-15
69,5679.0,8344.0,7633.0,4700.0,7062.0,7847.0,7770.0,1094,6896.0,7271.0,4453.0,8023.0,7860.0,8604.0,8174.0,6486.0,6897.0,6671.0,6189.0,5966.0,3455.0,5019.0,5474.0,4606.0,5369.0,3760.0
28,165668.0,286055.0,238039.0,136902.0,214460.0,264586.0,252569.0,45733,211689.0,222860.0,103946.0,268534.0,267797.0,312244.0,277287.0,191145.0,213525.0,199419.0,181550.0,172522.0,64654.0,136902.0,164715.0,124931.0,161507.0,75885.0
30,63481.0,109266.0,91611.0,54453.0,81420.0,101262.0,96394.0,30887,79584.0,83875.0,47209.0,102903.0,102365.0,127657.0,106038.0,71534.0,80627.0,75432.0,68032.0,65746.0,39103.0,59289.0,63224.0,50413.0,62498.0,41160.0
37,611853.0,1050246.0,902198.0,450144.0,819119.0,979112.0,939554.0,189213,800782.0,855450.0,346533.0,1005714.0,999151.0,1166560.0,1033527.0,729507.0,818858.0,762635.0,728551.0,627980.0,233038.0,497387.0,589436.0,406257.0,552194.0,259859.0
38,58131.0,90939.0,78325.0,51018.0,71735.0,85482.0,81935.0,33648,70822.0,72589.0,47616.0,87633.0,87633.0,99364.0,88917.0,63773.0,71587.0,66885.0,60164.0,58673.0,35293.0,53491.0,57996.0,48986.0,56158.0,38506.0
31,111248.0,172690.0,147583.0,99571.0,134877.0,163479.0,157139.0,65924,133002.0,138354.0,89054.0,165853.0,165037.0,195639.0,169053.0,120121.0,134193.0,125263.0,116769.0,114154.0,72079.0,103620.0,110672.0,94850.0,109860.0,77734.0
33,81417.0,130806.0,112544.0,72979.0,103364.0,119552.0,116523.0,11615,98524.0,104042.0,64402.0,121201.0,119763.0,146718.0,125466.0,92305.0,100041.0,96148.0,88624.0,84813.0,53780.0,76609.0,80674.0,70281.0,79942.0,56797.0
34,501812.0,911345.0,724879.0,406494.0,697318.0,812914.0,791011.0,206737,670153.0,703957.0,354653.0,851190.0,822080.0,992728.0,883576.0,616618.0,680591.0,649035.0,558156.0,530412.0,235152.0,437711.0,492061.0,381159.0,468760.0,278956.0
35,171579.0,264105.0,231864.0,130211.0,213941.0,245330.0,240516.0,43344,204968.0,219033.0,112450.0,253534.0,251082.0,286538.0,258073.0,189082.0,212216.0,195327.0,180272.0,176038.0,73428.0,148964.0,166530.0,122956.0,162636.0,80172.0
32,140934.0,299502.0,252886.0,105222.0,214342.0,269657.0,264060.0,31320,205892.0,236799.0,85391.0,282040.0,278091.0,327691.0,291370.0,179805.0,211931.0,191175.0,167481.0,149464.0,62370.0,115160.0,136670.0,95837.0,129223.0,67679.0
