State,stateFIPS,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04
IL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,8,11,16,18,26,29,47,65,72,99,139,156,208,243,273,306,379,461,527,595,676,719,719,867,947,1071,1131,1256,1287,1347,1466,1564,1686,1793,1874,1933,1983,2125,2214,2353,2454,2553,2616,2657,2834,2970,3107,3237,3344,3403,3456,3599,3789,3924,4055,4126,4175,4232,4376,4523,4606,4714,4789,4854,4883,4922,5081,5184,5268,5329,5389,5411,5524,5620,5735,5794,5862,5903,5923,6017,6094,6184,6259,6288,6307,6325,6397,6485,6537,6580,6625,6647,6671,6706,6769,6809,6847,6873,6888,6902,6923,6951,6987,7005,7014,7020,7026,7063,7099,7118,7144,7168,7187,7193,7218,7226,7251,7272,7290,7295,7301,7324,7347,7367,7385,7396,7398,7416,7446,7462,7478,7495,7503,7517,7526,7545,7573,7594,7613,7631,7636,7637,7657,7672,7696,7721,7726,7744,7756,7782,7806,7833,7857,7874,7880,7888,7917,7954,7977,7997,8008,8019,8026,8064,8091,8115,8143,8166,8171,8179,8186,8214,8242,8273,8295,8309,8314,8332,8367,8392,8411,8436,8450,8457,8486,8508,8538,8563,8588,8601,8614,8637,8672,8695,8743,8774,8791,8805,8836,8878,8910,8945,8975,8984,8997,9026,9074,9127,9165,9192,9214,9236,9277,9345,9387,9418,9481,9505,9521,9567,9617,9674,9709,9709,9779,9810,9877,9933,10030,10078,10153,10195,10209,10289,10434,10476,10503,10668,10740,10777,10874,11014,11178,11304,11430,11506,11552,11677,11831,11963,12029,12137,12193,12278,12403,12639,12830,12973,13178,13254,13342,13485,13665,13861,14050,14176,14290,14394,14509,14655,14835,15015,15120,15201,15299,15411,15544,15643,15797,15865,15969,16074,16179,16356,16486,16485,16667,16751,16832,16959,16959,17272,17395,17494,17574,17627,17741,17838,17928,18048,18178,18207,18258,18291,18398,18520,18615,18711,18750,18798,18883,18964,19067,19138,19203,19243,19259,19306,19375,19444
IN,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,6,7,9,14,15,15,30,32,35,49,65,78,102,116,127,139,173,203,245,299,330,343,343,387,436,477,519,545,562,569,630,661,661,661,661,661,661,661,963,1007,1062,1115,1132,1151,1213,1264,1295,1328,1362,1379,1411,1444,1481,1506,1550,1596,1607,1621,1675,1716,1764,1791,1812,1824,1830,1848,1869,1904,1943,1943,1966,1975,2020,2029,2050,2078,2110,2121,2135,2158,2172,2197,2214,2231,2240,2251,2265,2289,2304,2327,2346,2350,2363,2377,2385,2394,2403,2424,2427,2432,2448,2456,2469,2488,2494,2494,2505,2524,2539,2539,2544,2563,2567,2569,2582,2592,2602,2610,2627,2629,2632,2652,2666,2683,2687,2698,2706,2709,2725,2733,2746,2771,2771,2775,2780,2794,2805,2811,2821,2834,2835,2838,2863,2878,2898,2906,2921,2924,2926,2954,2968,2979,2992,3001,3003,3012,3035,3259,3266,3277,3285,3291,3296,3312,3325,3332,3350,3362,3364,3368,3380,3397,3410,3420,3437,3438,3439,3460,3472,3478,3495,3503,3506,3512,3520,3530,3548,3566,3577,3580,3591,3612,3632,3642,3656,3669,3674,3681,3711,3727,3742,3761,3782,3789,3795,3822,3836,3864,3887,3918,3937,3960,4008,4023,4065,4092,4118,4130,4143,4194,4226,4260,4285,4331,4363,4389,4438,4462,4507,4545,4591,4629,4664,4731,4762,4812,4863,4887,4909,4935,5024,5084,5143,5206,5246,5305,5332,5435,5498,5561,5594,5663,5685,5722,5864,5972,6033,6122,6207,6242,6284,6409,6506,6603,6672,6757,6805,6840,6967,7101,7180,7265,7338,7404,7438,7581,7645,7730,7770,7801,7843,7886,8051,8160,8262,8371,8410,8475,8514,8663,8663,8823,8892,8966,8985,9016,9103,9162,9202,9246,9287,9310,9340,9466,9529,9593,9642,9693,9716,9728,9807,9845,9879,9925,9967,9974,9989,10054,10091,11637
IA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,6,7,9,11,11,11,17,25,26,27,27,31,34,41,41,43,53,60,64,74,75,79,83,90,96,107,112,118,127,136,148,162,170,175,183,187,206,218,230,242,251,264,270,288,306,318,336,346,351,355,366,381,400,418,444,449,456,463,485,500,520,527,532,537,559,565,578,588,598,602,607,622,629,638,642,649,650,653,661,671,676,680,681,685,686,688,690,693,701,704,704,707,713,717,717,720,721,721,722,725,732,740,743,748,749,753,756,759,777,782,787,792,793,799,808,815,820,826,826,829,838,844,854,865,872,874,879,885,893,906,912,925,930,931,937,949,954,964,973,975,979,987,1003,1012,1017,1030,1035,1040,1049,1062,1080,1091,1108,1110,1112,1121,1125,1134,1137,1160,1165,1167,1173,1185,1205,1208,1208,1218,1221,1233,1234,1248,1258,1264,1265,1266,1285,1293,1299,1303,1311,1315,1317,1325,1342,1358,1367,1377,1381,1388,1399,1414,1419,1433,1454,1460,1464,1481,1492,1505,1521,1526,1528,1534,1548,1579,1594,1617,1629,1634,1636,1658,1680,1691,1705,1715,1716,1733,1755,1781,1801,1815,1815,1829,1845,1872,1895,1925,1944,1969,1982,1988,2021,2061,2099,2124,2155,2187,2200,2217,2259,2259,2336,2347,2361,2389,2412,2434,2495,2571,2626,2637,2670,2675,2676,2676,3194,3208,3209,3269,3336,3350,3450,3450,3450,3588,3588,3651,3667,3738,3743,3743,3744,3744,3812,3822,3891,3897,3944,3944,3988,3999,3999,4065,4124,4127,4138,4139,4139,4232,4251,4257,4321,4323,4323,4332,4394,4445,4478,4433,4434,4434,4492,4500,4532,4577,4651,4901,4906,4919,4975,5033
KS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,9,10,10,13,16,19,20,21,29,35,42,46,51,52,59,64,74,80,82,85,94,102,102,112,113,114,120,122,126,128,134,135,141,142,145,156,161,164,164,168,173,173,179,184,185,189,192,194,194,195,196,201,203,203,204,204,207,209,210,213,213,213,213,214,220,224,224,231,231,231,235,235,237,237,242,242,242,244,244,246,246,247,255,256,256,258,258,260,265,268,269,271,273,275,275,275,275,275,282,283,283,288,288,288,294,298,298,302,302,305,305,309,313,316,318,318,323,324,330,335,341,346,353,359,358,361,366,366,368,375,377,378,378,378,388,392,403,403,407,407,406,411,414,422,425,430,431,432,433,444,445,446,448,449,450,453,455,466,473,479,483,484,486,493,495,513,522,522,534,534,568,568,580,580,580,592,607,618,631,632,632,632,638,646,659,662,674,686,686,691,694,702,733,757,757,760,768,788,799,823,840,854,856,865,890,902,932,946,955,958,971,982,996,1003,1015,1022,1022,1044,1056,1067,1080,1093,1097,1097,1111,1132,1136,1149,1157,1169,1169,1199,1210,1222,1247,1285,1307,1322,1342,1381,1411,1411,1411,1431,1433,1470,1503,1568,1582,1609,1615,1622,1635,1657,1732,1767,1810,1814,1818,1854,1914,1968,2006,2033,2038,2039,2039,2039,2039,2039,2039,2039,2039,2211,2273,2325,2367,2377,2378,2378,2431,2467,2520,2558,2596,2604,2607,2653,2696,2696,2755,2785,2802,2805,2807,2816,3575,3575,3598,3598,3598,3622,3622,3718,3718,3779,3779,3779,3779,3809,3809,3904
LA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,10,14,20,20,34,44,64,82,118,136,153,185,234,268,308,366,408,472,509,576,648,698,751,800,834,834,1011,1099,1155,1213,1267,1295,1326,1401,1471,1539,1600,1643,1669,1695,1754,1798,1858,1922,1945,1964,1985,2035,2085,2127,2145,2185,2202,2230,2269,2313,2347,2381,2411,2423,2438,2457,2485,2505,2533,2560,2567,2585,2596,2615,2634,2678,2678,2683,2688,2721,2757,2770,2799,2812,2823,2829,2842,2854,2872,2882,2890,2899,2904,2927,2947,2947,2969,2989,2990,3002,3021,3039,3051,3077,3077,3086,3091,3113,3130,3147,3170,3169,3180,3188,3211,3231,3247,3272,3295,3308,3315,3337,3351,3375,3399,3399,3433,3462,3498,3558,3574,3603,3603,3651,3674,3700,3769,3811,3835,3835,3893,3910,3937,3978,4028,4089,4089,4145,4169,4195,4238,4279,4307,4307,4384,4403,4431,4468,4496,4546,4546,4605,4623,4656,4688,4711,4741,4741,4768,4787,4821,4841,4858,4872,4872,4930,4942,4955,4970,4991,5032,5032,5065,5082,5108,5126,5143,5172,5172,5198,5207,5218,5225,5241,5262,5262,5283,5298,5298,5321,5355,5355,5387,5387,5396,5402,5411,5416,5442,5442,5462,5476,5486,5495,5507,5527,5527,5550,5566,5572,5584,5593,5614,5614,5631,5648,5666,5676,5694,5705,5705,5712,5720,5737,5746,5766,5787,5787,5807,5819,5829,5829,5861,5885,5885,5885,5885,5885,5885,6199,6233,6233,6284,6284,6350,6350,6350,6390,6407,6407,6420,6501,6501,6524,6546,6546,6584,6607,6651,6683,6723,6766,6766,6817,6842,6893,6932,6964,6994,6994,7041,7105,7154,7225,7272,7272,7272,7291,7336,7397,7448,7486,7486,7486,7536,7583,7633,7635,7726,7833,7833,7872,7917,7970,8021,8080,8080,8080,8203,8253,8323,8383,8442,8483,8483,8565,8590,8621,8688,8743,8801,8801,8859,8912,8953,9006,9044
MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,6,14,23,41,57,86,104,127,184,259,334,416,477,538,614,725,842,955,1070,1272,1376,1466,1466,1753,1902,2075,2207,2286,2367,2442,2678,2789,2951,3057,3241,3282,3368,3527,3630,3746,3822,3976,4005,4086,4127,4199,4289,4340,4472,4495,4525,4613,4652,4726,4764,4820,4830,4854,4953,4996,5063,5092,5153,5158,5171,5198,5266,5302,5335,5390,5418,5441,5477,5496,5521,5779,5815,5819,5836,5868,5878,5906,5913,5938,5941,5944,5960,5962,5988,5994,6013,6016,6022,6034,6040,6058,6061,6080,6084,6088,6120,6125,6139,6142,6145,6145,6148,6178,6189,6198,6212,6240,6241,6248,6253,6257,6275,6282,6291,6293,6300,6309,6315,6322,6327,6327,6327,6332,6348,6349,6369,6376,6383,6383,6393,6397,6403,6431,6448,6444,6443,6450,6457,6463,6479,6490,6510,6516,6516,6532,6543,6560,6560,6581,6584,6588,6609,6615,6631,6637,6637,6672,6677,6691,6705,6716,6723,6731,6731,6735,6736,6811,6816,6822,6834,6834,6843,6854,6865,6877,6874,6889,6889,6901,6917,6932,6939,6947,6964,6964,6971,6992,7003,7020,7029,7043,7043,7058,7080,7087,7111,7118,7137,7137,7143,7173,7186,7220,7235,7258,7258,7281,7302,7336,7382,7401,7439,7439,7468,7499,7519,7566,7577,7613,7613,7629,7675,7697,7747,7793,7793,7793,7922,8009,8052,8098,8216,8286,8286,8341,8424,8485,8629,8683,8783,8783,8848,9003,9078,9078,9260,9364,9364,9459,9651,9736,9927,10006,10207,10207,10303,10506,10588,10783,10849,11079,11079,11171,11375,11467,11672,11736,11948,11947,12023,12212,12286,12286,12286,12555,12555,12613,12826,12876,12876,12876,13163,13163,13248,13460,13465,13726,13767,13997,13997,14043,14145,14186,14352,14392,14502,14501,14528,14530,14770,14933,14951,15181,15181,15219,15305,15314,15402,15410,15525,15525,15536,15609,15644,15725
MN,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,5,9,9,9,13,14,22,24,28,29,34,39,50,57,64,70,70,78,86,94,111,121,134,143,160,179,199,220,243,271,285,300,318,342,369,393,417,426,453,484,507,533,557,577,590,613,637,662,681,698,719,728,745,774,806,838,848,865,878,896,929,964,993,1024,1038,1048,1070,1084,1113,1146,1167,1183,1194,1215,1234,1247,1272,1281,1296,1302,1311,1323,1341,1361,1372,1380,1384,1393,1397,1406,1411,1417,1425,1435,1441,1445,1458,1466,1466,1471,1474,1477,1485,1490,1495,1499,1502,1504,1510,1518,1526,1533,1538,1541,1538,1547,1538,1538,1538,1538,1538,1538,1578,1538,1571,1600,1606,1615,1616,1620,1629,1636,1640,1648,1657,1660,1666,1678,1685,1693,1699,1706,1712,1721,1738,1745,1753,1761,1767,1771,1779,1793,1806,1810,1814,1816,1817,1823,1830,1837,1847,1851,1857,1860,1862,1869,1884,1897,1906,1919,1922,1927,1933,1942,1950,1963,1965,1969,1979,1985,1988,1994,2004,2008,2015,2020,2036,2049,2059,2073,2080,2083,2087,2101,2107,2121,2131,2141,2144,2151,2151,2151,2151,2151,2151,2246,2246,2246,2314,2328,2246,2353,2367,2387,2409,2429,2457,2475,2484,2499,2499,2530,2555,2591,2624,2655,2674,2697,2792,2792,2836,2905,2917,2943,3009,3009,3081,3148,3241,3241,3264,3302,3374,3476,3521,3521,3578,3593,3615,3691,3783,3844,3919,3983,4004,4026,4107,4197,4292,4359,4444,4462,4483,4573,4657,4723,4780,4849,4871,4895,4970,5049,5049,5106,5146,5159,5196,5262,5323,5323,5377,5429,5442,5460,5461,5572,5620,5663,5707,5711,5724,5773,5817,5850,5887,5926,5938,5944,5979,6011,6032,6063,6095,6098,6106,6124,6140,6168,6187,6200,6202,6210,6234,6251
MS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,6,6,14,15,18,21,25,28,34,42,50,58,66,75,81,92,95,95,110,121,128,139,151,158,169,183,192,200,209,220,226,229,239,249,260,280,291,303,310,342,374,396,407,419,429,434,456,464,479,492,510,521,528,554,570,580,596,616,625,635,652,670,693,710,723,734,739,767,782,794,803,811,817,837,847,868,868,881,889,891,895,915,938,938,938,938,938,976,989,1011,1016,1022,1035,1039,1059,1073,1082,1092,1103,1107,1112,1114,1158,1188,1204,1215,1230,1249,1250,1272,1291,1308,1332,1346,1356,1358,1389,1423,1436,1464,1480,1495,1501,1543,1563,1611,1663,1692,1703,1704,1753,1771,1808,1848,1857,1896,1912,1937,1989,2011,2043,2080,2084,2095,2129,2163,2190,2214,2235,2240,2248,2315,2373,2387,2413,2425,2441,2473,2493,2526,2536,2557,2569,2584,2585,2585,2622,2652,2670,2681,2691,2706,2734,2756,2780,2792,2809,2810,2810,2846,2866,2874,2894,2911,2919,2921,2957,2969,2978,2999,3015,3013,3013,3027,3051,3074,3080,3096,3101,3101,3115,3140,3152,3161,3171,3171,3202,3223,3231,3238,3255,3255,3263,3283,3302,3310,3328,3334,3348,3348,3383,3396,3404,3417,3432,3442,3442,3442,3496,3513,3513,3518,3540,3543,3545,3581,3600,3619,3642,3657,3676,3676,3729,3745,3763,3769,3779,3806,3807,3836,3851,3879,3916,3949,3961,3961,4017,4040,4083,4124,4180,4199,4204,4252,4294,4320,4354,4390,4409,4411,4490,4533,4557,4562,4565,4606,4634,4719,4669,4787,4816,4840,4872,4884,4975,4975,5013,5099,5099,4996,5186,5284,5315,5356,5411,5481,5521,5524,5573,5638,5665,5713,5752,5479,5777,5852,5917,5945,5982,6019,6045,6056,6132,6158,6182
MO,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,5,8,8,9,10,12,13,14,18,19,19,23,33,38,50,56,77,96,108,109,109,133,147,152,164,175,176,177,189,207,218,262,273,274,288,314,318,329,337,351,352,358,376,396,417,449,472,482,487,522,540,560,575,588,594,605,616,630,661,671,676,681,685,686,695,706,736,770,771,771,782,786,788,798,807,807,819,839,847,860,870,877,877,879,881,907,944,947,955,956,961,966,975,982,990,996,996,998,1015,1017,1022,1016,1013,1013,1028,1040,1044,1048,1060,1069,1069,1083,1093,1102,1113,1121,1130,1129,1132,1143,1159,1179,1178,1182,1197,1201,1213,1220,1233,1243,1253,1253,1255,1266,1272,1280,1301,1301,1307,1307,1312,1323,1325,1335,1346,1367,1396,1402,1414,1417,1419,1425,1426,1426,1440,1449,1450,1464,1496,1508,1530,1538,1542,1545,1562,1639,1658,1659,1661,1673,1691,1701,1704,1705,1714,1732,1739,1757,1780,1793,1795,1807,1864,1947,1952,1994,2063,2063,2064,2064,2128,2129,2145,2170,2174,2174,2200,2237,2260,2396,2423,2423,2423,2423,2544,2544,2544,2549,2549,2549,2641,2657,2688,2801,2805,2810,2836,2869,2869,2925,3024,3026,3031,3063,3087,3106,3131,3149,3153,3153,3297,3321,3337,3337,3371,3372,3384,3450,3474,3504,3534,3552,3552,3558,3745,3774,3806,3807,3807,3821,3827,4004,4041,4102,4122,4181,4181,4181,4351,4381,4448,4448,4502,4510,4514,4754,4798,4832,4853,4904,4937,4947,5158,5158,5294,5308,5294,5294,5294,4937,4937,4937,4937,5540,5543,5562,5562,5824,5825,5882,5912,5944,5948,5951,6153,6169,6197,6225,6250,6251,6256,6262,6461,6485,6527,6541,6548,6548,6548,6548,6548,6739,6748,6748,6748,7088,7098,7117
MT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,8,10,10,10,12,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,25,28,29,29,32,34,34,35,37,37,37,39,40,42,43,46,46,46,47,51,54,55,60,61,61,64,64,65,65,70,75,75,75,77,80,81,81,82,82,82,84,84,89,89,90,90,91,97,98,98,100,104,104,104,105,109,111,114,116,117,118,119,122,123,131,133,135,138,140,141,143,146,156,157,160,163,165,165,170,171,173,174,177,180,181,186,186,187,190,192,193,197,206,209,210,212,217,225,230,235,240,241,241,252,275,278,282,294,297,302,304,324,336,363,375,376,386,399,404,407,419,445,456,457,462,472,471,477,511,517,520,542,560,560,565,598,601,611,628,628,655,656,669,671,680,698,713,722,726,733,735,741,762,770,781,805,816,818,818,826,836,849,854,864,865,881,894,913,916,916,919,924,927,939,949,960,960,971,972,975,1004,1005,1037,1049,1053,1055,1056,1066,1069,1077,1086,1088,1092,1092,1093,1094,1100,1104,1141,1151,1151,1185,1201,1210,1227,1232,1233,1234,1249,1303,1308
NE,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,70,72,75,78,79,79,82,86,91,92,96,99,101,103,107,113,118,122,122,124,128,135,141,145,145,148,148,151,160,161,166,166,167,176,179,184,185,186,187,187,187,190,194,211,215,215,215,219,230,233,238,243,243,243,248,255,256,259,265,266,266,268,273,275,281,283,283,283,282,281,281,281,281,284,284,287,285,289,297,299,299,299,304,308,309,314,316,316,316,317,321,324,328,332,332,332,332,332,332,335,340,345,345,345,348,351,356,360,361,361,361,361,368,371,373,376,378,382,382,384,389,390,391,391,396,399,399,403,403,403,403,403,406,421,427,434,434,434,435,436,439,442,442,442,442,450,459,462,462,468,469,470,472,478,478,493,493,497,499,502,506,506,513,513,518,518,521,526,529,534,546,547,547,553,563,573,582,586,595,596,601,617,624,632,641,644,654,655,658,667,672,699,700,700,707,723,723,754,773,777,777,793,793,823,848,892,899,903,923,923,937,974,976,980,980,1015,1015,1119,1155,1183,1191,1191,1230,1268,1284,1315,1340,1362,1371,1417,1436,1436,1446,1467,1472,1485,1509,1519,1558,1564,1554,1553,1553,1579,1597,1605,1649,1663,1664,1667,1677,1692,1692,1729,1731,1735,1754,1766,1783,1796,1810,1822,1822,1830,1835,1835,1860,1865,1875,1876,1876,1891,1900,1912,1913,1913,1912,1912,1912,1921,1923,1944
