number of county,percentage
65,65.66%
63,95.45%
49,92.45%
48,66.67%
37,35.24%
33,35.48%
33,37.93%
29,30.53%
17,20.73%
15,26.79%
13,12.75%
12,16.00%
11,25.00%
9,14.06%
7,2.76%
7,6.09%
7,10.45%
2,2.99%
1,1.30%
1,1.20%
1,0.83%
1,4.35%
