state_name,number of county,percentage
California,19,32.76%
New Jersey,14,66.67%
Michigan,11,13.25%
Florida,10,14.93%
New York,10,16.13%
Pennsylvania,9,13.43%
Minnesota,9,10.34%
Ohio,8,9.09%
Illinois,8,7.84%
Texas,7,2.76%
Arizona,6,40.00%
Maryland,6,25.00%
Massachusetts,6,42.86%
Wisconsin,5,6.94%
Indiana,5,5.43%
Connecticut,5,62.50%
Colorado,5,7.81%
New Hampshire,1,10.00%
Nevada,1,5.88%
District of Columbia,1,100.00%
Oklahoma,1,1.30%
Rhode Island,1,20.00%
Utah,1,3.45%
Virginia,1,0.75%
Missouri,1,0.87%
