,GEOID,NAME,state_name,state_abbr,average
49,06037,Los Angeles,California,CA,5802.6122448979595
64,17031,Cook,Illinois,IL,3327.204081632653
83,04013,Maricopa,Arizona,AZ,2805.9795918367345
121,12086,Miami-Dade,Florida,FL,2074.2244897959185
37,32003,Clark,Nevada,NV,1581.469387755102
78,06073,San Diego,California,CA,1444.2244897959183
117,06071,San Bernardino,California,CA,1427.0
113,48113,Dallas,Texas,TX,1141.938775510204
116,06059,Orange,California,CA,1136.1224489795918
55,48439,Tarrant,Texas,TX,1100.8163265306123
32,27053,Hennepin,Minnesota,MN,1086.265306122449
114,26163,Wayne,Michigan,MI,998.5918367346939
93,12011,Broward,Florida,FL,914.1632653061225
137,42101,Philadelphia,Pennsylvania,PA,882.5102040816328
21,26125,Oakland,Michigan,MI,766.1632653061225
50,36103,Suffolk,New York,NY,754.9591836734695
31,25017,Middlesex,Massachusetts,MA,714.591836734694
88,26099,Macomb,Michigan,MI,714.3673469387755
148,36081,Queens,New York,NY,710.3673469387755
43,17043,DuPage,Illinois,IL,707.3877551020408
147,36047,Kings,New York,NY,700.734693877551
84,06065,Riverside,California,CA,694.6530612244898
120,09009,New Haven,Connecticut,CT,616.1224489795919
135,44007,Providence,Rhode Island,RI,613.5918367346939
80,36059,Nassau,New York,NY,600.5510204081633
60,25009,Essex,Massachusetts,MA,597.0408163265305
8,04019,Pima,Arizona,AZ,586.3673469387755
35,09001,Fairfield,Connecticut,CT,580.5714285714287
82,36119,Westchester,New York,NY,566.6326530612245
95,17197,Will,Illinois,IL,559.9183673469387
105,12099,Palm Beach,Florida,FL,502.4897959183673
81,08031,Denver,Colorado,CO,485.93877551020404
85,08001,Adams,Colorado,CO,464.7959183673469
133,08005,Arapahoe,Colorado,CO,460.734693877551
149,36005,Bronx,New York,NY,456.14285714285717
18,27123,Ramsey,Minnesota,MN,449.7551020408163
57,36061,New York,New York,NY,447.7551020408163
96,17097,Lake,Illinois,IL,443.0
112,27037,Dakota,Minnesota,MN,428.7142857142857
36,06029,Kern,California,CA,425.6326530612245
34,18089,Lake,Indiana,IN,421.3265306122449
100,34003,Bergen,New Jersey,NJ,420.93877551020404
65,48085,Collin,Texas,TX,416.51020408163265
108,09003,Hartford,Connecticut,CT,409.63265306122446
41,06111,Ventura,California,CA,403.7142857142858
61,34031,Passaic,New Jersey,NJ,396.2448979591837
91,25027,Worcester,Massachusetts,MA,394.83673469387753
146,34023,Middlesex,New Jersey,NJ,394.26530612244903
122,25025,Suffolk,Massachusetts,MA,394.06122448979596
47,08059,Jefferson,Colorado,CO,385.97959183673464
127,42017,Bucks,Pennsylvania,PA,383.26530612244903
14,27003,Anoka,Minnesota,MN,376.53061224489795
107,42091,Montgomery,Pennsylvania,PA,372.89795918367355
33,34013,Essex,New Jersey,NJ,371.5714285714286
128,34017,Hudson,New Jersey,NJ,371.38775510204084
89,17089,Kane,Illinois,IL,366.69387755102036
0,39153,Summit,Ohio,OH,361.69387755102036
42,06001,Alameda,California,CA,346.0
68,24031,Montgomery,Maryland,MD,341.06122448979585
109,55133,Waukesha,Wisconsin,WI,340.26530612244903
25,34007,Camden,New Jersey,NJ,330.57142857142856
150,36085,Richmond,New York,NY,329.6938775510204
62,25005,Bristol,Massachusetts,MA,325.0
10,39017,Butler,Ohio,OH,318.1632653061224
46,24005,Baltimore,Maryland,MD,314.14285714285717
6,26049,Genesee,Michigan,MI,299.30612244897964
63,06013,Contra Costa,California,CA,295.53061224489795
126,34025,Monmouth,New Jersey,NJ,292.26530612244903
103,42133,York,Pennsylvania,PA,287.7755102040816
123,48157,Fort Bend,Texas,TX,287.53061224489795
54,34039,Union,New Jersey,NJ,278.30612244897964
4,12103,Pinellas,Florida,FL,270.83673469387753
67,49011,Davis,Utah,UT,263.4489795918367
71,42045,Delaware,Pennsylvania,PA,262.0
28,06099,Stanislaus,California,CA,255.22448979591834
132,04021,Pinal,Arizona,AZ,253.5918367346939
1,26139,Ottawa,Michigan,MI,252.5102040816327
99,24510,Baltimore City,Maryland,MD,243.77551020408163
102,33011,Hillsborough,New Hampshire,NH,241.9183673469388
16,27163,Washington,Minnesota,MN,231.46938775510202
118,48121,Denton,Texas,TX,231.3877551020408
94,25021,Norfolk,Massachusetts,MA,227.85714285714286
53,08035,Douglas,Colorado,CO,222.65306122448985
130,42077,Lehigh,Pennsylvania,PA,218.18367346938774
72,34005,Burlington,New Jersey,NJ,217.28571428571428
119,42011,Berks,Pennsylvania,PA,214.04081632653063
66,06107,Tulare,California,CA,209.89795918367344
115,42029,Chester,Pennsylvania,PA,206.93877551020407
92,39165,Warren,Ohio,OH,203.32653061224488
51,04027,Yuma,Arizona,AZ,200.9387755102041
29,06077,San Joaquin,California,CA,200.85714285714283
97,12105,Polk,Florida,FL,200.71428571428572
22,11001,District of Columbia,District of Columbia,DC,200.46938775510202
86,34027,Morris,New Jersey,NJ,189.53061224489798
59,24003,Anne Arundel,Maryland,MD,189.42857142857142
77,06081,San Mateo,California,CA,187.14285714285717
39,27171,Wright,Minnesota,MN,181.48979591836732
144,40027,Cleveland,Oklahoma,OK,176.83673469387756
125,17111,McHenry,Illinois,IL,175.73469387755102
140,12101,Pasco,Florida,FL,174.0
7,39085,Lake,Ohio,OH,172.9387755102041
20,18081,Johnson,Indiana,IN,167.16326530612247
139,26161,Washtenaw,Michigan,MI,165.0204081632653
17,34021,Mercer,New Jersey,NJ,163.53061224489798
74,36087,Rockland,New York,NY,160.75510204081633
70,04025,Yavapai,Arizona,AZ,160.2857142857143
79,06095,Solano,California,CA,160.10204081632656
13,18063,Hendricks,Indiana,IN,158.4081632653061
104,06047,Merced,California,CA,156.0204081632653
124,12009,Brevard,Florida,FL,152.14285714285714
110,34015,Gloucester,New Jersey,NJ,151.14285714285714
141,06031,Kings,California,CA,143.93877551020407
101,27139,Scott,Minnesota,MN,142.16326530612247
98,12021,Collier,Florida,FL,140.75510204081633
27,55101,Racine,Wisconsin,WI,135.10204081632654
76,39103,Medina,Ohio,OH,131.6326530612245
142,29510,St. Louis City,Missouri,MO,131.16326530612247
143,55059,Kenosha,Wisconsin,WI,131.10204081632654
73,26093,Livingston,Michigan,MI,130.14285714285717
26,39041,Delaware,Ohio,OH,128.55102040816328
12,55131,Washington,Wisconsin,WI,123.24489795918369
23,26147,St. Clair,Michigan,MI,121.77551020408161
56,26115,Monroe,Michigan,MI,117.36734693877553
136,04015,Mohave,Arizona,AZ,115.5918367346939
129,12117,Seminole,Florida,FL,112.59183673469387
5,17091,Kankakee,Illinois,IL,111.81632653061224
15,42007,Beaver,Pennsylvania,PA,111.40816326530614
38,39045,Fairfield,Ohio,OH,110.14285714285714
90,06025,Imperial,California,CA,109.71428571428571
40,34035,Somerset,New Jersey,NJ,107.22448979591836
145,39133,Portage,Ohio,OH,105.40816326530611
45,34001,Atlantic,New Jersey,NJ,103.24489795918369
138,27141,Sherburne,Minnesota,MN,101.3673469387755
87,48167,Galveston,Texas,TX,100.51020408163265
75,09005,Litchfield,Connecticut,CT,99.6938775510204
24,27019,Carver,Minnesota,MN,99.42857142857143
30,48039,Brazoria,Texas,TX,99.12244897959184
44,24027,Howard,Maryland,MD,98.73469387755101
58,06083,Santa Barbara,California,CA,90.28571428571429
3,17093,Kendall,Illinois,IL,88.89795918367348
69,26005,Allegan,Michigan,MI,85.63265306122449
52,18059,Hancock,Indiana,IN,81.10204081632652
111,12069,Lake,Florida,FL,78.51020408163265
2,26087,Lapeer,Michigan,MI,77.36734693877551
9,24025,Harford,Maryland,MD,77.30612244897961
106,06061,Placer,California,CA,76.22448979591836
11,51013,Arlington,Virginia,VA,63.38775510204082
19,55089,Ozaukee,Wisconsin,WI,62.6530612244898
134,18109,Morgan,Indiana,IN,62.08163265306122
48,36079,Putnam,New York,NY,61.81632653061225
131,09007,Middlesex,Connecticut,CT,60.14285714285713
