GEOID,NAME,state_name,state_abbr,average
08073,Lincoln,Colorado,CO,719.8769918926474
46041,Dewey,South Dakota,SD,489.81004410762404
08025,Crowley,Colorado,CO,462.89919164824005
08011,Bent,Colorado,CO,391.01886235644196
20165,Rush,Kansas,KS,383.5576783905052
46137,Ziebach,South Dakota,SD,276.3152169183238
20157,Republic,Kansas,KS,246.9361624291202
08089,Otero,Colorado,CO,236.3226327365871
20053,Ellsworth,Kansas,KS,214.36192465226992
40059,Harper,Oklahoma,OK,213.7897009596664
27067,Kandiyohi,Minnesota,MN,208.34908111118233
17051,Fayette,Illinois,IL,202.82279731999594
27033,Cottonwood,Minnesota,MN,198.66194807152547
20131,Nemaha,Kansas,KS,186.2265096062178
19035,Cherokee,Iowa,IA,184.0080294412847
08121,Washington,Colorado,CO,182.9988193624557
27023,Chippewa,Minnesota,MN,181.141565702051
40045,Ellis,Oklahoma,OK,179.92462210817527
27129,Renville,Minnesota,MN,178.83656417529315
20093,Kearny,Kansas,KS,174.39325679407062
20145,Pawnee,Kansas,KS,172.78039550892646
17101,Lawrence,Illinois,IL,170.5617697075742
54057,Mineral,West Virginia,WV,168.63406408094437
27093,Meeker,Minnesota,MN,166.77410597672062
24001,Allegany,Maryland,MD,163.54430681229522
27127,Redwood,Minnesota,MN,162.53582510559505
27069,Kittson,Minnesota,MN,161.40189070786255
40043,Dewey,Oklahoma,OK,160.59290735407623
18007,Benton,Indiana,IN,157.7647327536068
20155,Reno,Kansas,KS,156.76196470252256
17185,Wabash,Illinois,IL,154.3000333288072
08099,Prowers,Colorado,CO,151.55414970501974
19093,Ida,Iowa,IA,149.01854321832838
19109,Kossuth,Iowa,IA,147.5615121670559
46051,Grant,South Dakota,SD,145.34842619325687
20013,Brown,Kansas,KS,145.0787268549804
27015,Brown,Minnesota,MN,143.92810394555664
17049,Effingham,Illinois,IL,143.08526711439535
08101,Pueblo,Colorado,CO,143.08082282006526
27083,Lyon,Minnesota,MN,142.72050396845142
31133,Pawnee,Nebraska,NE,141.85046215795737
46105,Perkins,South Dakota,SD,141.8111104090759
27073,Lac qui Parle,Minnesota,MN,140.7147828864308
27119,Polk,Minnesota,MN,139.9261866754869
40039,Custer,Oklahoma,OK,139.73886997368018
40015,Caddo,Oklahoma,OK,139.66189024856754
46055,Haakon,South Dakota,SD,139.19112313513304
17025,Clay,Illinois,IL,138.93096599863517
46129,Walworth,South Dakota,SD,138.8940331123375
40151,Woods,Oklahoma,OK,138.63329927128078
27151,Swift,Minnesota,MN,138.35307792227505
27085,McLeod,Minnesota,MN,138.2001509605936
27171,Wright,Minnesota,MN,136.7206267041074
20167,Russell,Kansas,KS,136.6004334943093
20089,Jewell,Kansas,KS,134.37473754934072
17159,Richland,Illinois,IL,133.90407482179322
27091,Martin,Minnesota,MN,132.89226730563996
46107,Potter,South Dakota,SD,132.4863565374559
20105,Lincoln,Kansas,KS,132.45207672994934
20065,Graham,Kansas,KS,132.31225692634618
20113,McPherson,Kansas,KS,131.08841161333552
46037,Day,South Dakota,SD,130.84056724760373
40093,Major,Oklahoma,OK,130.6249371995494
31067,Gage,Nebraska,NE,129.37613109610595
27027,Clay,Minnesota,MN,129.1738172634064
27145,Stearns,Minnesota,MN,128.77188064597024
27173,Yellow Medicine,Minnesota,MN,128.22315792956826
46031,Corson,South Dakota,SD,126.81656155744447
27011,Big Stone,Minnesota,MN,125.72014451713699
20159,Rice,Kansas,KS,124.5980875447905
27111,Otter Tail,Minnesota,MN,123.02893291404023
27089,Marshall,Minnesota,MN,122.98786635608248
30021,Dawson,Montana,MT,122.79092901440849
31095,Jefferson,Nebraska,NE,121.517722280899
20029,Cloud,Kansas,KS,121.41280353200882
17005,Bond,Illinois,IL,121.13988726175009
17027,Clinton,Illinois,IL,120.51381624192148
08009,Baca,Colorado,CO,120.28386993304197
27081,Lincoln,Minnesota,MN,119.7955965284309
20137,Norton,Kansas,KS,119.41342340800703
19021,Buena Vista,Iowa,IA,118.46001974333662
19161,Sac,Iowa,IA,117.46895758708834
19091,Humboldt,Iowa,IA,117.12399783245935
46039,Deuel,South Dakota,SD,117.06494023526737
40149,Washita,Oklahoma,OK,116.92920695220005
40153,Woodward,Oklahoma,OK,115.92560904745356
20123,Mitchell,Kansas,KS,115.45601847296295
19197,Wright,Iowa,IA,115.39761171572657
27113,Pennington,Minnesota,MN,115.24914534341656
46003,Aurora,South Dakota,SD,114.65260261407934
27063,Jackson,Minnesota,MN,114.56359193423563
20051,Ellis,Kansas,KS,113.99116056146123
24023,Garrett,Maryland,MD,113.86499044062069
19149,Plymouth,Iowa,IA,113.45566222814857
31129,Nuckolls,Nebraska,NE,112.18522496717985
46043,Douglas,South Dakota,SD,112.14041930765481
46029,Codington,South Dakota,SD,112.05425263021293
27125,Red Lake,Minnesota,MN,111.51167053647808
27165,Watonwan,Minnesota,MN,111.21918921583033
38077,Richland,North Dakota,ND,110.00962270959464
17075,Iroquois,Illinois,IL,109.90515699339483
19141,O'Brien,Iowa,IA,109.88221037822072
17079,Jasper,Illinois,IL,108.8662178770237
27141,Sherburne,Minnesota,MN,108.72708320062588
19041,Clay,Iowa,IA,108.71509763716679
55031,Douglas,Wisconsin,WI,108.38398305730291
40011,Blaine,Oklahoma,OK,108.24757555087636
