GEOID,NAME,state_name,state_abbr,average
20137,Norton,Kansas,KS,20217.69699494818
47169,Trousdale,Tennessee,TN,20116.10034173494
46009,Bon Homme,South Dakota,SD,19818.379353463297
46017,Buffalo,South Dakota,SD,18718.252035348967
46041,Dewey,South Dakota,SD,17202.67965293056
38027,Eddy,North Dakota,ND,16083.009079118028
47095,Lake,Tennessee,TN,15902.964959568733
31043,Dakota,Nebraska,NE,15770.044790077272
19021,Buena Vista,Iowa,IA,15508.390918065152
38031,Foster,North Dakota,ND,15262.700825010857
27105,Nobles,Minnesota,MN,14474.7600949808
38099,Walsh,North Dakota,ND,13746.131668738593
20057,Ford,Kansas,KS,13640.69464927834
38059,Morton,North Dakota,ND,13575.731497418243
20175,Seward,Kansas,KS,13474.226284908462
46003,Aurora,South Dakota,SD,13405.478175322323
38015,Burleigh,North Dakota,ND,13111.456217166877
20055,Finney,Kansas,KS,13039.478312633602
20179,Sheridan,Kansas,KS,12997.377722038536
46005,Beadle,South Dakota,SD,12697.28964841624
38093,Stutsman,North Dakota,ND,12674.29873582551
55078,Menominee,Wisconsin,WI,12647.80207780863
38063,Nelson,North Dakota,ND,12436.399217221135
31037,Colfax,Nebraska,NE,12416.356877323418
46035,Davison,South Dakota,SD,12320.271056012978
46049,Faulk,South Dakota,SD,12206.226159714532
46085,Lyman,South Dakota,SD,12073.994756858547
46107,Potter,South Dakota,SD,11982.557425377716
38089,Stark,North Dakota,ND,11932.522717598506
38085,Sioux,North Dakota,ND,11925.803632125864
46073,Jerauld,South Dakota,SD,11877.772301626417
47181,Wayne,Tennessee,TN,11871.154852715308
38035,Grand Forks,North Dakota,ND,11769.074675324675
46111,Sanborn,South Dakota,SD,11749.222301986121
46102,Oglala Lakota,South Dakota,SD,11746.47466241467
20063,Gove,Kansas,KS,11700.212731140566
38005,Benson,North Dakota,ND,11653.04344218082
38039,Griggs,North Dakota,ND,11568.528558819822
19105,Jones,Iowa,IA,11481.080180030005
19149,Plymouth,Iowa,IA,11411.341164925572
46099,Minnehaha,South Dakota,SD,11322.378471332415
05017,Chicot,Arkansas,AR,11306.114908553482
38101,Ward,North Dakota,ND,11285.536319577515
30085,Roosevelt,Montana,MT,11219.400478395848
22035,East Carroll,Louisiana,LA,11181.413741967377
38021,Dickey,North Dakota,ND,11158.378844495543
19025,Calhoun,Iowa,IA,11134.969325153374
46015,Brule,South Dakota,SD,11040.443574690149
46087,McCook,South Dakota,SD,10978.04391217565
19167,Sioux,Iowa,IA,10921.546508050455
38055,McLean,North Dakota,ND,10702.390864755562
20145,Pawnee,Kansas,KS,10667.972659327555
38061,Mountrail,North Dakota,ND,10656.591241697624
46053,Gregory,South Dakota,SD,10619.920427109191
38057,Mercer,North Dakota,ND,10550.09168194699
19047,Crawford,Iowa,IA,10540.008672159034
46043,Douglas,South Dakota,SD,10521.69673330083
38029,Emmons,North Dakota,ND,10501.193317422436
38071,Ramsey,North Dakota,ND,10441.414603394356
20067,Grant,Kansas,KS,10410.414165666267
19193,Woodbury,Iowa,IA,10400.035714983273
27067,Kandiyohi,Minnesota,MN,10394.298841952272
55027,Dodge,Wisconsin,WI,10350.697880318734
38075,Renville,North Dakota,ND,10340.681362725454
38069,Pierce,North Dakota,ND,10339.328130302003
38079,Rolette,North Dakota,ND,10330.558300153589
46083,Lincoln,South Dakota,SD,10178.512895488531
19197,Wright,Iowa,IA,10151.961440621235
20165,Rush,Kansas,KS,10140.922906880352
19187,Webster,Iowa,IA,10139.953905767221
20093,Kearny,Kansas,KS,10111.175701206219
46027,Clay,South Dakota,SD,10039.497307001793
19027,Carroll,Iowa,IA,9986.096286725466
38003,Barnes,North Dakota,ND,9976.005906238466
38017,Cass,North Dakota,ND,9950.271195836689
46029,Codington,South Dakota,SD,9949.936463707765
20135,Ness,Kansas,KS,9915.397631133672
38019,Cavalier,North Dakota,ND,9914.823670053796
46023,Charles Mix,South Dakota,SD,9853.534735812133
46125,Turner,South Dakota,SD,9841.308256119486
46123,Tripp,South Dakota,SD,9805.099801442158
46121,Todd,South Dakota,SD,9799.780349750783
19061,Dubuque,Iowa,IA,9742.714878972396
38095,Towner,North Dakota,ND,9731.586312174022
46065,Hughes,South Dakota,SD,9663.555494287173
31141,Platte,Nebraska,NE,9658.617098958266
46013,Brown,South Dakota,SD,9657.569515962925
46031,Corson,South Dakota,SD,9641.486153002468
19141,O'Brien,Iowa,IA,9629.58398800538
55115,Shawano,Wisconsin,WI,9604.163545981195
38041,Hettinger,North Dakota,ND,9588.509316770185
